bench,src,pc,latency
508.namd_r/1,1/super_hot_regions:8,0x5826d152c720,2
508.namd_r/1,1/super_hot_regions:8,0x5826d152c724,2
508.namd_r/1,1/super_hot_regions:8,0x5826d152c72d,2
508.namd_r/1,1/super_hot_regions:8,0x5826d152c731,2
508.namd_r/1,1/super_hot_regions:8,0x5826d152c741,4
508.namd_r/1,1/super_hot_regions:8,0x5826d152c756,4
508.namd_r/1,1/super_hot_regions:8,0x5826d152c784,1

508.namd_r/1,1/super_hot_regions:30,0x5826d152c501,2
508.namd_r/1,1/super_hot_regions:30,0x5826d152c505,2
508.namd_r/1,1/super_hot_regions:30,0x5826d152c50e,2
508.namd_r/1,1/super_hot_regions:30,0x5826d152c512,2
508.namd_r/1,1/super_hot_regions:30,0x5826d152c523,4
508.namd_r/1,1/super_hot_regions:30,0x5826d152c538,4
508.namd_r/1,1/super_hot_regions:30,0x5826d152c54f,1

508.namd_r/1,1/super_hot_regions:31,0x5826d152c50a,2
508.namd_r/1,1/super_hot_regions:31,0x5826d152c516,2
508.namd_r/1,1/super_hot_regions:31,0x5826d152c51a,2
508.namd_r/1,1/super_hot_regions:31,0x5826d152c52d,4
508.namd_r/1,1/super_hot_regions:31,0x5826d152c54b,2
508.namd_r/1,1/super_hot_regions:31,0x5826d152c557,4

508.namd_r/1,1/super_hot_regions:46,0x5826d15329e0,2
508.namd_r/1,1/super_hot_regions:46,0x5826d15329e4,2
508.namd_r/1,1/super_hot_regions:46,0x5826d15329ed,2
508.namd_r/1,1/super_hot_regions:46,0x5826d15329f1,2
508.namd_r/1,1/super_hot_regions:46,0x5826d1532a01,4
508.namd_r/1,1/super_hot_regions:46,0x5826d1532a16,4
508.namd_r/1,1/super_hot_regions:46,0x5826d1532a44,1

508.namd_r/1,1/super_hot_regions:52,0x5826d1554938,2
508.namd_r/1,1/super_hot_regions:52,0x5826d155493c,2
508.namd_r/1,1/super_hot_regions:52,0x5826d1554945,2
508.namd_r/1,1/super_hot_regions:52,0x5826d1554949,2
508.namd_r/1,1/super_hot_regions:52,0x5826d1554959,4
