block_idx,uop_idx,opcode,elem_w,data_w,cont_w,addr_w,bw_legacy,raw_operands
0,0,lea,64,64,0,64,64,rbp ptr [r8+rdx*1]
0,1,movzx,8,32,0,64,64,ecx byte ptr [rbp]
1,0,add,64,64,0,0,64,rdx r11
1,1,movzx,8,32,0,64,64,esi byte ptr [rdx]
2,0,mov,32,32,0,64,64,eax dword ptr [rsp-0x4]
2,1,add,32,32,0,0,64,eax esi
3,0,mov,64,64,0,0,64,r8 rdi
3,1,sub,64,64,0,0,64,r8 rdx
3,2,movzx,8,32,0,64,64,ecx byte ptr [r8+rdx*1]
4,0,mov,32,32,0,64,64,eax dword ptr [rsp-0x14]
4,1,add,32,32,0,0,64,eax r10d
5,0,mov,64,64,0,0,64,r8 r11
5,1,sub,64,64,0,0,64,r8 rax
5,2,movzx,8,32,0,64,64,ecx byte ptr [r8+rdx*1]
6,0,lea,64,64,0,64,64,rbp ptr [r8+rdx*1]
6,1,movzx,8,32,0,64,64,ecx byte ptr [rbp]
7,0,add,64,64,0,0,64,rdx r11
7,1,movzx,8,32,0,64,64,esi byte ptr [rdx]
8,0,mov,32,32,0,0,64,r8d r11d
8,1,and,32,32,0,0,64,r8d 0xf
9,0,lea,64,64,0,64,64,rax ptr [rsi+rax*1+0x40a0]
9,1,mov,32,32,0,64,64,eax dword ptr [rdi+rax*4+0x10]
9,2,add,32,32,0,64,64,eax dword ptr [rdi+r8*4+0x10e98]
10,0,lea,64,64,0,64,64,rdi ptr [rip+0x191b4]
10,1,movsxd,32,64,0,64,64,rax dword ptr [rdi+rax*4]
10,2,add,64,64,0,0,64,rax rdi
11,0,lea,64,64,0,64,64,rdi ptr [rip+0x191b4]
11,1,movsxd,32,64,0,64,64,rax dword ptr [rdi+rax*4]
11,2,add,64,64,0,0,64,rax rdi
12,0,mov,32,32,0,64,64,eax dword ptr [rsp+0x38]
12,1,mov,32,32,0,0,64,esi ecx
