idx,stages,II,est_fmax_mhz,latency,rank,exec_cnt,serial_mem
0,2,1,437.5,2,1,9555018,True
1,2,1,1166.7,2,1,51426274,True
2,14,1,1166.7,14,1,51426274,True
3,2,1,1166.7,2,1,45656774,True
4,14,1,1166.7,14,1,45656774,True
5,2,1,1166.7,2,1,42443629,True
6,14,1,1166.7,14,1,42443629,True
7,2,1,1166.7,2,1,38216661,True
8,14,1,1166.7,14,1,38216661,True
9,6,1,109.4,6,1,13570981,True
10,2,1,1166.7,2,1,3095224,True
11,2,1,1166.7,2,1,42192104,True
12,28,1,218.7,28,1,2241233,True
13,1,1,291.7,1,1,4676082,False
14,3,1,1166.7,3,1,4676082,True
15,2,1,411.8,2,1,25317067,True
16,2,1,411.8,2,1,13761984,True
17,2,1,411.8,2,1,24131766,True
18,2,1,205.9,2,1,7325635,True
19,1,1,1000.0,1,1,9647345,True
20,2,1,437.5,2,1,12066080,True
21,1,1,291.7,1,1,4077786,False
22,3,1,1166.7,3,1,4077786,True
23,2,1,411.8,2,1,34236079,True
24,2,1,411.8,2,1,13761984,True
25,2,1,411.8,2,1,24131771,True
26,1,1,1000.0,1,1,9526380,True
27,2,1,1166.7,2,1,10589894,True
28,2,1,437.5,2,2,3627827,True
29,2,1,437.5,2,2,2052899,True
30,2,1,1166.7,2,2,9525883,True
31,2,1,1166.7,2,2,16125390,True
32,4,1,205.9,4,2,12563458,True
33,2,1,583.3,2,2,12563458,True
34,2,1,411.8,2,2,12563458,True
35,4,1,205.9,4,2,8540198,True
36,2,1,583.3,2,2,8540198,True
37,2,1,411.8,2,2,8540198,True
38,2,1,1166.7,2,2,22206145,True
39,2,1,1166.7,2,2,29004810,True
40,1,1,437.5,1,2,29004810,True
41,2,1,1166.7,2,2,24257165,True
42,1,1,437.5,1,2,24257165,True
43,2,1,437.5,2,2,2341084,True
44,2,1,437.5,2,2,2259569,True
45,2,1,1166.7,2,2,8056993,True
46,14,1,1166.7,14,2,8056993,True
47,2,1,1166.7,2,2,10550017,True
48,14,1,1166.7,14,2,10550017,True
49,2,1,1166.7,2,2,24252205,True
50,4,1,205.9,4,2,6361310,True
51,2,1,583.3,2,2,6361310,True
52,2,1,411.8,2,2,6361310,True
53,4,1,205.9,4,2,12563458,True
54,2,1,583.3,2,2,12563458,True
55,2,1,411.8,2,2,12563458,True
56,4,1,205.9,4,2,8540200,True
57,2,1,583.3,2,2,8540200,True
58,2,1,411.8,2,2,8540200,True
59,2,1,1166.7,2,2,10336525,True
60,2,1,205.9,2,2,1463546,True
61,18,1,109.4,18,2,6450420,True
62,2,1,1000.0,2,3,7737068,True
63,2,1,1166.7,2,3,10285254,True
64,2,1,1166.7,2,3,9131353,True
65,2,1,1166.7,2,3,8488727,True
66,2,1,1166.7,2,3,7643334,True
67,2,1,1166.7,2,3,16070692,True
68,3,1,437.5,3,3,5293073,True
69,4,1,218.7,4,3,5293073,True
70,3,1,437.5,3,3,5293073,True
71,18,1,109.4,18,3,17083403,True
72,2,1,1000.0,2,3,9550723,True
73,7,1,218.7,7,3,2334049,True
74,5,1,225.8,5,3,2334049,False
75,3,1,1166.7,3,3,1818269,True
76,3,1,1166.7,3,3,1818269,True
77,4,1,1166.7,4,3,6109290,True
78,4,1,109.4,4,3,13184889,True
79,2,1,1166.7,2,3,9607384,True
80,2,1,1166.7,2,3,7140577,True
81,2,1,1166.7,2,3,8899295,True
82,1,1,437.5,1,3,8899295,True
83,2,1,1000.0,2,4,1823006,True
84,2,1,1000.0,2,4,16284550,True
85,1,1,1000.0,1,4,6261867,True
86,4,1,205.9,4,4,5113549,True
87,2,1,583.3,2,4,5113549,True
88,2,1,411.8,2,4,5113549,True
89,2,1,1000.0,2,4,16992842,True
90,2,1,225.8,2,4,3233705,False
91,2,1,437.5,2,4,14535664,True
92,1,1,304.3,1,4,14535664,True
93,2,1,1166.7,2,4,32069558,True
94,1,1,437.5,1,4,32069558,True
95,2,1,1000.0,2,4,1819743,True
96,2,1,1000.0,2,4,1818172,True
97,1,1,291.7,1,4,2799663,False
98,6,1,109.4,6,4,10495266,True
99,2,1,1166.7,2,4,4836263,True
100,2,1,1166.7,2,4,4836263,True
101,2,1,1166.7,2,4,4836263,True
102,2,1,1166.7,2,4,4836263,True
103,2,1,1166.7,2,4,4836263,True
104,2,1,1166.7,2,4,4836263,True
105,2,1,1166.7,2,4,4836263,True
106,2,1,1166.7,2,4,4836263,True
107,2,1,1166.7,2,4,4836263,True
