bench,src,pc,latency
508.namd_r/1,1/super_hot_regions:90,0x5826d153f130,4
508.namd_r/1,1/super_hot_regions:90,0x5826d153f138,0
508.namd_r/1,1/super_hot_regions:90,0x5826d153f13c,0
508.namd_r/1,1/super_hot_regions:90,0x5826d153f148,0
508.namd_r/1,1/super_hot_regions:90,0x5826d153f151,0
508.namd_r/1,1/super_hot_regions:90,0x5826d153f167,0
508.namd_r/1,1/super_hot_regions:90,0x5826d153f182,0
508.namd_r/1,1/super_hot_regions:91,0x5826d153f134,4
508.namd_r/1,1/super_hot_regions:91,0x5826d153f140,0
508.namd_r/1,1/super_hot_regions:91,0x5826d153f144,0
508.namd_r/1,1/super_hot_regions:91,0x5826d153f14d,0
508.namd_r/1,1/super_hot_regions:91,0x5826d153f156,0
508.namd_r/1,1/super_hot_regions:91,0x5826d153f16c,0
508.namd_r/1,1/super_hot_regions:91,0x5826d153f18f,0
508.namd_r/1,1/super_hot_regions:97,0x5826d153c410,5
508.namd_r/1,1/super_hot_regions:97,0x5826d153c41e,0
508.namd_r/1,1/super_hot_regions:97,0x5826d153c423,0
508.namd_r/1,1/super_hot_regions:97,0x5826d153c448,0
508.namd_r/1,1/super_hot_regions:97,0x5826d153c44d,0
508.namd_r/1,1/super_hot_regions:97,0x5826d153c465,0
508.namd_r/1,1/super_hot_regions:97,0x5826d153c4c8,0
