bench,src,pcs,latencies,stage_count,muops
502.gcc_r/1,1/super_hot_regions:7,"0x5a2e8f497c78,0x5a2e8f497c7b","1,0",1,MOV-SHR
502.gcc_r/4,4/super_hot_regions:11,"0x55f1c6d2bc78,0x55f1c6d2bc7b","1,0",1,MOV-SHR
502.gcc_r/1,1/super_hot_regions:12,"0x5a2e8f497966,0x5a2e8f497968,0x5a2e8f49796d,0x5a2e8f497970","1,0,0,0",1,MOV-SHR-AND-MOV
502.gcc_r/1,1/super_hot_regions:13,"0x5a2e8f497985,0x5a2e8f497987","1,0",1,MOV-SHR
502.gcc_r/3,3/super_hot_regions:12,"0x5b35c687f73e,0x5b35c687f740","1,0",1,MOV-SHR
502.gcc_r/4,4/super_hot_regions:13,"0x55f1c6d2b966,0x55f1c6d2b968,0x55f1c6d2b96d,0x55f1c6d2b970","1,0,0,0",1,MOV-SHR-AND-MOV
502.gcc_r/4,4/super_hot_regions:14,"0x55f1c6d2b985,0x55f1c6d2b987","1,0",1,MOV-SHR
502.gcc_r/1,1/super_hot_regions:16,"0x5a2e8f497ccf,0x5a2e8f497cd1,0x5a2e8f497cd4,0x5a2e8f497ce1","1,0,0,0",1,MOV-SHR-AND-AND
502.gcc_r/1,1/super_hot_regions:19,"0x5a2e8f4977c8,0x5a2e8f4977ca","1,0",1,MOV-SHR
502.gcc_r/2,2/super_hot_regions:23,"0x5deaaf286c78,0x5deaaf286c7b","1,0",1,MOV-SHR
502.gcc_r/1,1/super_hot_regions:23,"0x5a2e8f497822,0x5a2e8f497824,0x5a2e8f497827","1,0,0",1,MOV-SHR-AND
502.gcc_r/5,5/super_hot_regions:19,"0x5898c1316966,0x5898c1316968,0x5898c131696d,0x5898c1316970","1,0,0,0",1,MOV-SHR-AND-MOV
502.gcc_r/5,5/super_hot_regions:20,"0x5898c1316985,0x5898c1316987","1,0",1,MOV-SHR
502.gcc_r/2,2/super_hot_regions:26,"0x5deaaf286966,0x5deaaf286968,0x5deaaf28696d,0x5deaaf286970","1,0,0,0",1,MOV-SHR-AND-MOV
502.gcc_r/2,2/super_hot_regions:27,"0x5deaaf286985,0x5deaaf286987","1,0",1,MOV-SHR
502.gcc_r/4,4/super_hot_regions:26,"0x55f1c6d2bccf,0x55f1c6d2bcd1,0x55f1c6d2bcd4,0x55f1c6d2bce1","1,0,0,0",1,MOV-SHR-AND-AND
502.gcc_r/4,4/super_hot_regions:29,"0x55f1c6d2b7c8,0x55f1c6d2b7ca","1,0",1,MOV-SHR
502.gcc_r/3,3/super_hot_regions:30,"0x5b35c617e966,0x5b35c617e968,0x5b35c617e96d,0x5b35c617e970","1,0,0,0",1,MOV-SHR-AND-MOV
502.gcc_r/3,3/super_hot_regions:31,"0x5b35c617e985,0x5b35c617e987","1,0",1,MOV-SHR
502.gcc_r/2,2/super_hot_regions:40,"0x5deaaf286ccf,0x5deaaf286cd1,0x5deaaf286cd4,0x5deaaf286ce1","1,0,0,0",1,MOV-SHR-AND-AND
502.gcc_r/2,2/super_hot_regions:42,"0x5deaaf2867c8,0x5deaaf2867ca","1,0",1,MOV-SHR
502.gcc_r/4,4/super_hot_regions:36,"0x55f1c6d2b822,0x55f1c6d2b824,0x55f1c6d2b827","1,0,0",1,MOV-SHR-AND
502.gcc_r/4,4/super_hot_regions:39,"0x55f1c74ffe8d,0x55f1c74ffe9b","1,0",1,MOV-MOV
502.gcc_r/4,4/super_hot_regions:40,"0x55f1c74ffe98,0x55f1c74ffe9e","1,0",1,ADD-MOV
502.gcc_r/1,1/super_hot_regions:44,"0x7754d29a0f84,0x7754d29a0f8b","1,0",1,VMOVD-VPBROADCASTB
502.gcc_r/2,2/super_hot_regions:47,"0x5deaaf286822,0x5deaaf286824,0x5deaaf286827","1,0,0",1,MOV-SHR-AND
502.gcc_r/2,2/super_hot_regions:56,"0x5deaaf515d87,0x5deaaf515d8d","1,0",1,MOV-MOV
502.gcc_r/2,2/super_hot_regions:61,"0x5deaaf27def6,0x5deaaf27df21","1,0",1,MOV-MOV
502.gcc_r/3,3/super_hot_regions:61,"0x5b35c687f6da,0x5b35c687f6dd","1,0",1,ADD-AND
502.gcc_r/1,1/super_hot_regions:76,"0x5a2e8f726d87,0x5a2e8f726d8d","1,0",1,MOV-MOV
502.gcc_r/3,3/super_hot_regions:64,"0x5b35c617ec78,0x5b35c617ec7b","1,0",1,MOV-SHR
502.gcc_r/5,5/super_hot_regions:71,"0x5898c1316c78,0x5898c1316c7b","1,0",1,MOV-SHR
502.gcc_r/5,5/super_hot_regions:80,"0x5898c13167c8,0x5898c13167ca","1,0",1,MOV-SHR
502.gcc_r/3,3/super_hot_regions:79,"0x5b35c640dd87,0x5b35c640dd8d","1,0",1,MOV-MOV
502.gcc_r/3,3/super_hot_regions:85,"0x5b35c6175ef6,0x5b35c6175f21","1,0",1,MOV-MOV
502.gcc_r/1,1/super_hot_regions:95,"0x5a2e8f48eef6,0x5a2e8f48ef21","1,0",1,MOV-MOV
502.gcc_r/5,5/super_hot_regions:93,"0x5898c1316822,0x5898c1316824,0x5898c1316827","1,0,0",1,MOV-SHR-AND
502.gcc_r/5,5/super_hot_regions:96,"0x5898c1316ccf,0x5898c1316cd1,0x5898c1316cd4,0x5898c1316ce1","1,0,0,0",1,MOV-SHR-AND-AND
502.gcc_r/4,4/super_hot_regions:123,"0x55f1c74ffe60,0x55f1c74ffe63","1,0",1,MOV-NEG
502.gcc_r/3,3/super_hot_regions:122,"0x5b35c687f715,0x5b35c687f71a","1,0",1,MOV-MOV
