bench,src,pcs,latencies,stage_count,muops
503.bwaves_r/1,1/super_hot_regions:8,"0x7f44ac3a0f84,0x7f44ac3a0f8b","1,0",1,VMOVD-VPBROADCASTB
503.bwaves_r/2,2/super_hot_regions:8,"0x7fb85b9a0f84,0x7fb85b9a0f8b","1,0",1,VMOVD-VPBROADCASTB
503.bwaves_r/3,3/super_hot_regions:8,"0x7f367c1a0f84,0x7f367c1a0f8b","1,0",1,VMOVD-VPBROADCASTB
503.bwaves_r/4,4/super_hot_regions:8,"0x73a5fcba0f84,0x73a5fcba0f8b","1,0",1,VMOVD-VPBROADCASTB
503.bwaves_r/3,3/super_hot_regions:19,"0x7f367c4cd8b4,0x7f367c4cd8c3","1,0",1,VMOVQ-SHR
503.bwaves_r/3,3/super_hot_regions:20,"0x7f367c4cd8b9,0x7f367c4cd8cc","1,0",1,VMOVQ-SHR
503.bwaves_r/3,3/super_hot_regions:23,"0x7f367c4cd94e,0x7f367c4cda13","1,0",1,AND-AND
503.bwaves_r/2,2/super_hot_regions:33,"0x7fb85bb058b4,0x7fb85bb058c3","1,0",1,VMOVQ-SHR
503.bwaves_r/2,2/super_hot_regions:34,"0x7fb85bb058b9,0x7fb85bb058cc","1,0",1,VMOVQ-SHR
503.bwaves_r/2,2/super_hot_regions:36,"0x7fb85bb0594e,0x7fb85bb05a13","1,0",1,AND-AND
503.bwaves_r/2,2/super_hot_regions:41,"0x7fb85bb05ac1,0x7fb85bb05ac6,0x7fb85bb05acb,0x7fb85bb05acf","1,0,0,0",1,VMOVQ-VFMADD132SD-VMOVSD-VMOVSD
503.bwaves_r/3,3/super_hot_regions:41,"0x7f367c4cdac1,0x7f367c4cdac6,0x7f367c4cdacb,0x7f367c4cdacf","1,0,0,0",1,VMOVQ-VFMADD132SD-VMOVSD-VMOVSD
503.bwaves_r/1,1/super_hot_regions:40,"0x7f44ac6c394e,0x7f44ac6c3a13","1,0",1,AND-AND
503.bwaves_r/1,1/super_hot_regions:43,"0x7f44ac6c38b4,0x7f44ac6c38c3","1,0",1,VMOVQ-SHR
503.bwaves_r/1,1/super_hot_regions:44,"0x7f44ac6c38b9,0x7f44ac6c38cc","1,0",1,VMOVQ-SHR
503.bwaves_r/4,4/super_hot_regions:47,"0x73a5fce4d8b4,0x73a5fce4d8c3","1,0",1,VMOVQ-SHR
503.bwaves_r/4,4/super_hot_regions:48,"0x73a5fce4d8b9,0x73a5fce4d8cc","1,0",1,VMOVQ-SHR
503.bwaves_r/4,4/super_hot_regions:51,"0x73a5fce4d94e,0x73a5fce4da13","1,0",1,AND-AND
503.bwaves_r/1,1/super_hot_regions:55,"0x7f44ac6c3ac1,0x7f44ac6c3ac6,0x7f44ac6c3acb,0x7f44ac6c3acf","1,0,0,0",1,VMOVQ-VFMADD132SD-VMOVSD-VMOVSD
503.bwaves_r/4,4/super_hot_regions:59,"0x73a5fce4dac1,0x73a5fce4dac6,0x73a5fce4dacb,0x73a5fce4dacf","1,0,0,0",1,VMOVQ-VFMADD132SD-VMOVSD-VMOVSD
503.bwaves_r/1,1/super_hot_regions:151,"0x5e2ee99092a6,0x5e2ee99092a9","1,0",1,MOVSX-MOV
503.bwaves_r/2,2/super_hot_regions:153,"0x64944a7542a6,0x64944a7542a9","1,0",1,MOVSX-MOV
503.bwaves_r/4,4/super_hot_regions:159,"0x5693fc8392a6,0x5693fc8392a9","1,0",1,MOVSX-MOV
503.bwaves_r/3,3/super_hot_regions:161,"0x5eb154bed2a6,0x5eb154bed2a9","1,0",1,MOVSX-MOV
503.bwaves_r/3,3/super_hot_regions:170,"0x5eb154a46cf3,0x5eb154a46cfd","1,0",1,INC-SHL
503.bwaves_r/1,1/super_hot_regions:178,"0x5e2ee973ecf3,0x5e2ee973ecfd","1,0",1,INC-SHL
503.bwaves_r/2,2/super_hot_regions:178,"0x64944a588cf3,0x64944a588cfd","1,0",1,INC-SHL
503.bwaves_r/4,4/super_hot_regions:184,"0x5693fc839723,0x5693fc839726","1,0",1,MOVSX-MOV
503.bwaves_r/2,2/super_hot_regions:192,"0x64944a754723,0x64944a754726","1,0",1,MOVSX-MOV
503.bwaves_r/3,3/super_hot_regions:190,"0x5eb154a47225,0x5eb154a47240","1,0",1,INC-SHL
503.bwaves_r/3,3/super_hot_regions:197,"0x5eb154bed723,0x5eb154bed726","1,0",1,MOVSX-MOV
503.bwaves_r/2,2/super_hot_regions:199,"0x64944a589225,0x64944a589240","1,0",1,INC-SHL
503.bwaves_r/4,4/super_hot_regions:197,"0x5693fc674cf3,0x5693fc674cfd","1,0",1,INC-SHL
503.bwaves_r/1,1/super_hot_regions:208,"0x5e2ee973e7e0,0x5e2ee973e7ea","1,0",1,INC-SHL
503.bwaves_r/3,3/super_hot_regions:206,"0x5eb154a467e0,0x5eb154a467ea","1,0",1,INC-SHL
