bench,src,pc,latency
503.bwaves_r/1,1/super_hot_regions:8,0x7f44ac3a0f84,1
503.bwaves_r/1,1/super_hot_regions:8,0x7f44ac3a0f8b,0
503.bwaves_r/2,2/super_hot_regions:8,0x7fb85b9a0f84,1
503.bwaves_r/2,2/super_hot_regions:8,0x7fb85b9a0f8b,0
503.bwaves_r/3,3/super_hot_regions:8,0x7f367c1a0f84,1
503.bwaves_r/3,3/super_hot_regions:8,0x7f367c1a0f8b,0
503.bwaves_r/4,4/super_hot_regions:8,0x73a5fcba0f84,1
503.bwaves_r/4,4/super_hot_regions:8,0x73a5fcba0f8b,0
503.bwaves_r/3,3/super_hot_regions:19,0x7f367c4cd8b4,1
503.bwaves_r/3,3/super_hot_regions:19,0x7f367c4cd8c3,0
503.bwaves_r/3,3/super_hot_regions:20,0x7f367c4cd8b9,1
503.bwaves_r/3,3/super_hot_regions:20,0x7f367c4cd8cc,0
503.bwaves_r/3,3/super_hot_regions:23,0x7f367c4cd94e,1
503.bwaves_r/3,3/super_hot_regions:23,0x7f367c4cda13,0
503.bwaves_r/2,2/super_hot_regions:33,0x7fb85bb058b4,1
503.bwaves_r/2,2/super_hot_regions:33,0x7fb85bb058c3,0
503.bwaves_r/2,2/super_hot_regions:34,0x7fb85bb058b9,1
503.bwaves_r/2,2/super_hot_regions:34,0x7fb85bb058cc,0
503.bwaves_r/2,2/super_hot_regions:36,0x7fb85bb0594e,1
503.bwaves_r/2,2/super_hot_regions:36,0x7fb85bb05a13,0
503.bwaves_r/2,2/super_hot_regions:41,0x7fb85bb05ac1,1
503.bwaves_r/2,2/super_hot_regions:41,0x7fb85bb05ac6,0
503.bwaves_r/2,2/super_hot_regions:41,0x7fb85bb05acb,0
503.bwaves_r/2,2/super_hot_regions:41,0x7fb85bb05acf,0
503.bwaves_r/3,3/super_hot_regions:41,0x7f367c4cdac1,1
503.bwaves_r/3,3/super_hot_regions:41,0x7f367c4cdac6,0
503.bwaves_r/3,3/super_hot_regions:41,0x7f367c4cdacb,0
503.bwaves_r/3,3/super_hot_regions:41,0x7f367c4cdacf,0
503.bwaves_r/1,1/super_hot_regions:40,0x7f44ac6c394e,1
503.bwaves_r/1,1/super_hot_regions:40,0x7f44ac6c3a13,0
503.bwaves_r/1,1/super_hot_regions:43,0x7f44ac6c38b4,1
503.bwaves_r/1,1/super_hot_regions:43,0x7f44ac6c38c3,0
503.bwaves_r/1,1/super_hot_regions:44,0x7f44ac6c38b9,1
503.bwaves_r/1,1/super_hot_regions:44,0x7f44ac6c38cc,0
503.bwaves_r/4,4/super_hot_regions:47,0x73a5fce4d8b4,1
503.bwaves_r/4,4/super_hot_regions:47,0x73a5fce4d8c3,0
503.bwaves_r/4,4/super_hot_regions:48,0x73a5fce4d8b9,1
503.bwaves_r/4,4/super_hot_regions:48,0x73a5fce4d8cc,0
503.bwaves_r/4,4/super_hot_regions:51,0x73a5fce4d94e,1
503.bwaves_r/4,4/super_hot_regions:51,0x73a5fce4da13,0
503.bwaves_r/1,1/super_hot_regions:55,0x7f44ac6c3ac1,1
503.bwaves_r/1,1/super_hot_regions:55,0x7f44ac6c3ac6,0
503.bwaves_r/1,1/super_hot_regions:55,0x7f44ac6c3acb,0
503.bwaves_r/1,1/super_hot_regions:55,0x7f44ac6c3acf,0
503.bwaves_r/4,4/super_hot_regions:59,0x73a5fce4dac1,1
503.bwaves_r/4,4/super_hot_regions:59,0x73a5fce4dac6,0
503.bwaves_r/4,4/super_hot_regions:59,0x73a5fce4dacb,0
503.bwaves_r/4,4/super_hot_regions:59,0x73a5fce4dacf,0
503.bwaves_r/1,1/super_hot_regions:151,0x5e2ee99092a6,1
503.bwaves_r/1,1/super_hot_regions:151,0x5e2ee99092a9,0
503.bwaves_r/2,2/super_hot_regions:153,0x64944a7542a6,1
503.bwaves_r/2,2/super_hot_regions:153,0x64944a7542a9,0
503.bwaves_r/4,4/super_hot_regions:159,0x5693fc8392a6,1
503.bwaves_r/4,4/super_hot_regions:159,0x5693fc8392a9,0
503.bwaves_r/3,3/super_hot_regions:161,0x5eb154bed2a6,1
503.bwaves_r/3,3/super_hot_regions:161,0x5eb154bed2a9,0
503.bwaves_r/3,3/super_hot_regions:170,0x5eb154a46cf3,1
503.bwaves_r/3,3/super_hot_regions:170,0x5eb154a46cfd,0
503.bwaves_r/1,1/super_hot_regions:178,0x5e2ee973ecf3,1
503.bwaves_r/1,1/super_hot_regions:178,0x5e2ee973ecfd,0
503.bwaves_r/2,2/super_hot_regions:178,0x64944a588cf3,1
503.bwaves_r/2,2/super_hot_regions:178,0x64944a588cfd,0
503.bwaves_r/4,4/super_hot_regions:184,0x5693fc839723,1
503.bwaves_r/4,4/super_hot_regions:184,0x5693fc839726,0
503.bwaves_r/2,2/super_hot_regions:192,0x64944a754723,1
503.bwaves_r/2,2/super_hot_regions:192,0x64944a754726,0
503.bwaves_r/3,3/super_hot_regions:190,0x5eb154a47225,1
503.bwaves_r/3,3/super_hot_regions:190,0x5eb154a47240,0
503.bwaves_r/3,3/super_hot_regions:197,0x5eb154bed723,1
503.bwaves_r/3,3/super_hot_regions:197,0x5eb154bed726,0
503.bwaves_r/2,2/super_hot_regions:199,0x64944a589225,1
503.bwaves_r/2,2/super_hot_regions:199,0x64944a589240,0
503.bwaves_r/4,4/super_hot_regions:197,0x5693fc674cf3,1
503.bwaves_r/4,4/super_hot_regions:197,0x5693fc674cfd,0
503.bwaves_r/1,1/super_hot_regions:208,0x5e2ee973e7e0,1
503.bwaves_r/1,1/super_hot_regions:208,0x5e2ee973e7ea,0
503.bwaves_r/3,3/super_hot_regions:206,0x5eb154a467e0,1
503.bwaves_r/3,3/super_hot_regions:206,0x5eb154a467ea,0
