bench,src,pc,latency
507.cactuBSSN_r/1,1/super_hot_regions:42,0x75705f2f1474,1
507.cactuBSSN_r/1,1/super_hot_regions:42,0x75705f2f147e,0
507.cactuBSSN_r/1,1/super_hot_regions:46,0x75705f2f1521,1
507.cactuBSSN_r/1,1/super_hot_regions:46,0x75705f2f1526,0
507.cactuBSSN_r/1,1/super_hot_regions:114,0x75705f2f18b4,1
507.cactuBSSN_r/1,1/super_hot_regions:114,0x75705f2f18c3,0
507.cactuBSSN_r/1,1/super_hot_regions:115,0x75705f2f18b9,1
507.cactuBSSN_r/1,1/super_hot_regions:115,0x75705f2f18cc,0
507.cactuBSSN_r/1,1/super_hot_regions:118,0x75705f2f194e,1
507.cactuBSSN_r/1,1/super_hot_regions:118,0x75705f2f1a13,0
507.cactuBSSN_r/1,1/super_hot_regions:126,0x75705f2f1ac1,1
507.cactuBSSN_r/1,1/super_hot_regions:126,0x75705f2f1ac6,0
507.cactuBSSN_r/1,1/super_hot_regions:126,0x75705f2f1acb,0
507.cactuBSSN_r/1,1/super_hot_regions:126,0x75705f2f1acf,0
507.cactuBSSN_r/1,1/super_hot_regions:140,0x75705f2f1669,1
507.cactuBSSN_r/1,1/super_hot_regions:140,0x75705f2f1685,0
507.cactuBSSN_r/1,1/super_hot_regions:152,0x61ec7a495340,1
507.cactuBSSN_r/1,1/super_hot_regions:152,0x61ec7a495359,0
507.cactuBSSN_r/1,1/super_hot_regions:155,0x61ec7a49525d,1
507.cactuBSSN_r/1,1/super_hot_regions:155,0x61ec7a49529e,0
