bench,src,pcs,latencies,stage_count,muops
510.parest_r/1,1/super_hot_regions:7,"0x61e49ab37ba0,0x61e49ab37ba2,0x61e49ab37ba4","1,0,0",1,MOV-SHR-MOV
510.parest_r/1,1/super_hot_regions:25,"0x61e49ab8a4de,0x61e49ab8a4e4,0x61e49ab8a4e7","1,0,0",1,IMUL-ADD-MOV
510.parest_r/1,1/super_hot_regions:26,"0x61e49ab8a4d7,0x61e49ab8a4da,0x61e49ab8a4e1,0x61e49ab8a4e9","1,0,0,0",1,MOV-IMUL-ADD-MOV
510.parest_r/1,1/super_hot_regions:34,"0x61e49ab37bd0,0x61e49ab37bd6","1,0",1,DEC-SUB
510.parest_r/1,1/super_hot_regions:45,"0x61e49ab37c95,0x61e49ab37c98","1,0",1,MOV-SAR
510.parest_r/1,1/super_hot_regions:61,"0x61e49ab37b91,0x61e49ab37b94","1,0",1,SUB-SAR
510.parest_r/1,1/super_hot_regions:62,"0x61e49ab37b98,0x61e49ab37b9b","1,0",1,MOV-MOV
510.parest_r/1,1/super_hot_regions:83,"0x61e49aaf7961,0x61e49aaf7964,0x61e49aaf7967,0x61e49aaf796a","1,0,0,0",1,MOV-SUB-ADD-SHR
510.parest_r/1,1/super_hot_regions:150,"0x7a48662a18a2,0x7a48662a18a4,0x7a48662a18a7","1,0,0",1,MOV-SHR-SUB
510.parest_r/1,1/super_hot_regions:152,"0x7a48662a18b8,0x7a48662a18c3","1,0",1,MOV-AND
