bench,src,pcs,latencies,stage_count,muops
519.lbm_r/1,1/super_hot_regions:3,"0x583214c3075a,0x583214c3075f,0x583214c30763,0x583214c30768,0x583214c3076c,0x583214c30776,0x583214c3077b,0x583214c30780,0x583214c30784,0x583214c30789,0x583214c30794,0x583214c30799,0x583214c3079e,0x583214c307a3,0x583214c307a8,0x583214c307ac,0x583214c307b0,0x583214c307b5,0x583214c307ba,0x583214c307be,0x583214c307c3,0x583214c307c8,0x583214c307cc,0x583214c307d1,0x583214c307d6,0x583214c307da,0x583214c307df,0x583214c307e4,0x583214c307e8,0x583214c307ec,0x583214c307f0,0x583214c307f4,0x583214c307f8,0x583214c307fd,0x583214c30801,0x583214c30805,0x583214c3080a,0x583214c3080e,0x583214c30812,0x583214c30816,0x583214c3081a,0x583214c3081e,0x583214c30823","36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",36,VMOVQ-VSUBSD-VMOVQ-VSUBSD-VADDSD-VADDSD-VSUBSD-VMULSD-VADDSD-VADDSD-VSUBSD-VSUBSD-VSUBSD-VMOVQ-VSUBSD-VADDSD-VADDSD-VADDSD-VADDSD-VADDSD-VSUBSD-VSUBSD-VSUBSD-VADDSD-VSUBSD-VSUBSD-VSUBSD-VMULSD-VMULSD-VADDSD-VSUBSD-VADDSD-VMOVQ-VADDSD-VSUBSD-VMOVQ-VMULSD-VADDSD-VDIVSD-VMINSD-VMAXSD-VMOVQ-VMOVQ
519.lbm_r/1,1/super_hot_regions:8,"0x583214c2f28d,0x583214c2f292","1,0",1,VMOVQ-VADDSD
519.lbm_r/1,1/super_hot_regions:51,"0x583214d062a6,0x583214d062a9","1,0",1,MOVSX-MOV
519.lbm_r/1,1/super_hot_regions:85,"0x7eb2b245542b,0x7eb2b2455431","1,0",1,MOV-MOV
519.lbm_r/1,1/super_hot_regions:104,"0x7eb2b245a5c4,0x7eb2b245a5cc","1,0",1,ADD-MOV
519.lbm_r/1,1/super_hot_regions:106,"0x7eb2b25a0784,0x7eb2b25a0787","1,0",1,MOV-ADD
519.lbm_r/1,1/super_hot_regions:112,"0x583214c35056,0x583214c3505b","1,0",1,MOV-SUB
519.lbm_r/1,1/super_hot_regions:113,"0x7eb2b245a2d0,0x7eb2b245a2da","1,0",1,MOV-MUL
519.lbm_r/1,1/super_hot_regions:115,"0x7eb2b245a2dd,0x7eb2b245a2f5","1,0",1,SHR-MOV
519.lbm_r/1,1/super_hot_regions:128,"0x7eb2b259d404,0x7eb2b259d40f","1,0",1,VMOVD-VPBROADCASTB
519.lbm_r/1,1/super_hot_regions:135,"0x583214c350ad,0x583214c350ed","1,0",1,MOV-MOV
519.lbm_r/1,1/super_hot_regions:137,"0x583214c350ba,0x583214c350f0,0x583214c350fa","1,0,0",1,MOV-MOV-ADD
519.lbm_r/1,1/super_hot_regions:140,"0x583214c35025,0x583214c3502c","1,0",1,MOV-MOV
519.lbm_r/1,1/super_hot_regions:160,"0x583214d050c5,0x583214d050c9","1,0",1,SUB-MOV
519.lbm_r/1,1/super_hot_regions:162,"0x583214d05103,0x583214d05107","1,0",1,SUB-MOV
519.lbm_r/1,1/super_hot_regions:163,"0x583214d05127,0x583214d0512b","1,0",1,SUB-MOV
519.lbm_r/1,1/super_hot_regions:167,"0x583214d051db,0x583214d051df","1,0",1,ADD-SUB
519.lbm_r/1,1/super_hot_regions:172,"0x583214c35025,0x583214c3502c","1,0",1,MOV-MOV
