bench,src,pcs,latencies,stage_count,muops
525.x264_r/3,3/super_hot_regions:48,"0x56c83e9b11de,0x56c83e9b11e0","1,0",1,MOV-SHR
525.x264_r/3,3/super_hot_regions:50,"0x56c83e9b11f1,0x56c83e9b1200","1,0",1,INC-SHL
525.x264_r/3,3/super_hot_regions:51,"0x56c83e9b11f4,0x56c83e9b1204","1,0",1,MOV-AND
525.x264_r/1,1/super_hot_regions:63,"0x560e964811de,0x560e964811e0","1,0",1,MOV-SHR
525.x264_r/1,1/super_hot_regions:65,"0x560e964811f1,0x560e96481200","1,0",1,INC-SHL
525.x264_r/1,1/super_hot_regions:66,"0x560e964811f4,0x560e96481204","1,0",1,MOV-AND
525.x264_r/1,1/super_hot_regions:72,"0x560e964a0e5c,0x560e964a0e5e,0x560e964a0e61","1,0,0",1,MOV-SAR-MOVSXD
525.x264_r/2,2/super_hot_regions:58,"0x56c92ffea1de,0x56c92ffea1e0","1,0",1,MOV-SHR
525.x264_r/2,2/super_hot_regions:60,"0x56c92ffea1f1,0x56c92ffea200","1,0",1,INC-SHL
525.x264_r/2,2/super_hot_regions:61,"0x56c92ffea1f4,0x56c92ffea204","1,0",1,MOV-AND
525.x264_r/2,2/super_hot_regions:75,"0x56c92ffe43b3,0x56c92ffe43b8,0x56c92ffe43be,0x56c92ffe43c4,0x56c92ffe43c7,0x56c92ffe43d8,0x56c92ffe43dd,0x56c92ffe43e6,0x56c92ffe43ec,0x56c92ffe43f3,0x56c92ffe43fc,0x56c92ffe4400,0x56c92ffe4404","8,0,0,0,0,0,0,0,0,0,0,0,0",8,MOV-MOV-AND-MOV-AND-MOV-SUB-SUB-MOV-IMUL-IMUL-IMUL-IMUL
525.x264_r/2,2/super_hot_regions:80,"0x56c92ffe4431,0x56c92ffe4433","1,0",1,MOV-SHR
525.x264_r/2,2/super_hot_regions:84,"0x56c92ffe4464,0x56c92ffe44a0","1,0",1,VMOVD-VPBROADCASTW
525.x264_r/2,2/super_hot_regions:85,"0x56c92ffe4469,0x56c92ffe44a5","1,0",1,VMOVD-VPBROADCASTW
525.x264_r/2,2/super_hot_regions:86,"0x56c92ffe446e,0x56c92ffe44aa","1,0",1,VMOVD-VPBROADCASTW
525.x264_r/2,2/super_hot_regions:87,"0x56c92ffe4473,0x56c92ffe44af","1,0",1,VMOVD-VPBROADCASTW
525.x264_r/2,2/super_hot_regions:88,"0x56c92ffe4478,0x56c92ffe44b4","1,0",1,INC-SHL
525.x264_r/2,2/super_hot_regions:89,"0x56c92ffe447b,0x56c92ffe44b8","1,0",1,VMOVD-VPBROADCASTW
525.x264_r/2,2/super_hot_regions:90,"0x56c92ffe4480,0x56c92ffe44bd","1,0",1,VMOVD-VPBROADCASTW
525.x264_r/2,2/super_hot_regions:91,"0x56c92ffe4485,0x56c92ffe44c2","1,0",1,VMOVD-VPBROADCASTW
525.x264_r/3,3/super_hot_regions:78,"0x56c83e9ab3b3,0x56c83e9ab3b8,0x56c83e9ab3be,0x56c83e9ab3c4,0x56c83e9ab3c7,0x56c83e9ab3d8,0x56c83e9ab3dd,0x56c83e9ab3e6,0x56c83e9ab3ec,0x56c83e9ab3f3,0x56c83e9ab3fc,0x56c83e9ab400,0x56c83e9ab404","8,0,0,0,0,0,0,0,0,0,0,0,0",8,MOV-MOV-AND-MOV-AND-MOV-SUB-SUB-MOV-IMUL-IMUL-IMUL-IMUL
525.x264_r/2,2/super_hot_regions:99,"0x56c92ffecaeb,0x56c92ffecaf4","1,0",1,MOV-ADD
525.x264_r/3,3/super_hot_regions:83,"0x56c83e9ab431,0x56c83e9ab433","1,0",1,MOV-SHR
525.x264_r/3,3/super_hot_regions:87,"0x56c83e9ab464,0x56c83e9ab4a0","1,0",1,VMOVD-VPBROADCASTW
525.x264_r/3,3/super_hot_regions:88,"0x56c83e9ab469,0x56c83e9ab4a5","1,0",1,VMOVD-VPBROADCASTW
525.x264_r/3,3/super_hot_regions:89,"0x56c83e9ab46e,0x56c83e9ab4aa","1,0",1,VMOVD-VPBROADCASTW
525.x264_r/3,3/super_hot_regions:90,"0x56c83e9ab473,0x56c83e9ab4af","1,0",1,VMOVD-VPBROADCASTW
525.x264_r/3,3/super_hot_regions:91,"0x56c83e9ab478,0x56c83e9ab4b4","1,0",1,INC-SHL
525.x264_r/3,3/super_hot_regions:92,"0x56c83e9ab47b,0x56c83e9ab4b8","1,0",1,VMOVD-VPBROADCASTW
525.x264_r/3,3/super_hot_regions:93,"0x56c83e9ab480,0x56c83e9ab4bd","1,0",1,VMOVD-VPBROADCASTW
525.x264_r/3,3/super_hot_regions:94,"0x56c83e9ab485,0x56c83e9ab4c2","1,0",1,VMOVD-VPBROADCASTW
525.x264_r/3,3/super_hot_regions:104,"0x56c83e9b3aeb,0x56c83e9b3af4","1,0",1,MOV-ADD
525.x264_r/2,2/super_hot_regions:178,"0x56c930009e5c,0x56c930009e5e,0x56c930009e61","1,0,0",1,MOV-SAR-MOVSXD
525.x264_r/1,1/super_hot_regions:179,"0x560e964ac3c7,0x560e964ac3ca","1,0",1,MOV-SUB
525.x264_r/1,1/super_hot_regions:184,"0x560e96483aeb,0x560e96483af4","1,0",1,MOV-ADD
525.x264_r/1,1/super_hot_regions:195,"0x560e964abbab,0x560e964abbae","1,0",1,MOV-SUB
