bench,src,pc,latency
627.cam4_s/1,1/super_hot_regions:7,0x60348ed86b25,1
627.cam4_s/1,1/super_hot_regions:7,0x60348ed86b29,0
627.cam4_s/1,1/super_hot_regions:9,0x60348ed86b33,6
627.cam4_s/1,1/super_hot_regions:9,0x60348ed86b37,0
627.cam4_s/1,1/super_hot_regions:9,0x60348ed86b3b,0
627.cam4_s/1,1/super_hot_regions:9,0x60348ed86b3f,0
627.cam4_s/1,1/super_hot_regions:9,0x60348ed86b44,0
627.cam4_s/1,1/super_hot_regions:9,0x60348ed86b49,0
627.cam4_s/1,1/super_hot_regions:9,0x60348ed86b4e,0
627.cam4_s/1,1/super_hot_regions:9,0x60348ed86b52,0
627.cam4_s/1,1/super_hot_regions:13,0x60348ed86b60,7
627.cam4_s/1,1/super_hot_regions:13,0x60348ed86b64,0
627.cam4_s/1,1/super_hot_regions:13,0x60348ed86b68,0
627.cam4_s/1,1/super_hot_regions:13,0x60348ed86b6d,0
627.cam4_s/1,1/super_hot_regions:13,0x60348ed86b72,0
627.cam4_s/1,1/super_hot_regions:13,0x60348ed86b76,0
627.cam4_s/1,1/super_hot_regions:13,0x60348ed86b7b,0
627.cam4_s/1,1/super_hot_regions:13,0x60348ed86b80,0
627.cam4_s/1,1/super_hot_regions:17,0x7935f41a0f84,1
627.cam4_s/1,1/super_hot_regions:17,0x7935f41a0f8b,0
627.cam4_s/1,1/super_hot_regions:34,0x60348edd3fec,1
627.cam4_s/1,1/super_hot_regions:34,0x60348edd4009,0
627.cam4_s/1,1/super_hot_regions:43,0x7935f45248b4,1
627.cam4_s/1,1/super_hot_regions:43,0x7935f45248c3,0
627.cam4_s/1,1/super_hot_regions:44,0x7935f45248b9,1
627.cam4_s/1,1/super_hot_regions:44,0x7935f45248cc,0
627.cam4_s/1,1/super_hot_regions:49,0x7935f4524ac1,1
627.cam4_s/1,1/super_hot_regions:49,0x7935f4524ac6,0
627.cam4_s/1,1/super_hot_regions:49,0x7935f4524acb,0
627.cam4_s/1,1/super_hot_regions:49,0x7935f4524acf,0
627.cam4_s/1,1/super_hot_regions:53,0x7935f452494e,1
627.cam4_s/1,1/super_hot_regions:53,0x7935f4524a13,0
627.cam4_s/1,1/super_hot_regions:58,0x7935f4524474,1
627.cam4_s/1,1/super_hot_regions:58,0x7935f452447e,0
627.cam4_s/1,1/super_hot_regions:62,0x7935f4524521,1
627.cam4_s/1,1/super_hot_regions:62,0x7935f4524526,0
627.cam4_s/1,1/super_hot_regions:142,0x7935f4524669,1
627.cam4_s/1,1/super_hot_regions:142,0x7935f4524685,0
