bench,src,pcs,latencies,stage_count,muops
631.deepsjeng_s/1,1/super_hot_regions:5,"0x57ee15038294,0x57ee15038298,0x57ee1503829b,0x57ee150382a0,0x57ee150382a9","1,0,0,0,0",1,MOV-SHR-AND-AND-OR
631.deepsjeng_s/1,1/super_hot_regions:7,"0x57ee150298bb,0x57ee150298bd","1,0",1,MOV-AND
631.deepsjeng_s/1,1/super_hot_regions:8,"0x57ee150298e0,0x57ee150298e9","1,0",1,MOV-AND
631.deepsjeng_s/1,1/super_hot_regions:34,"0x57ee15032c73,0x57ee15032c78,0x57ee15032c7e","1,0,0",1,MOV-SAR-AND
631.deepsjeng_s/1,1/super_hot_regions:45,"0x57ee15037689,0x57ee15037700","1,0",1,MOV-MOV
631.deepsjeng_s/1,1/super_hot_regions:48,"0x57ee15026bd5,0x57ee15026c77","1,0",1,MOV-AND
631.deepsjeng_s/1,1/super_hot_regions:64,"0x57ee1502db36,0x57ee1502db38,0x57ee1502db40,0x57ee1502db53","1,0,0,0",1,MOV-SAR-AND-MOV
631.deepsjeng_s/1,1/super_hot_regions:68,"0x57ee1502db4c,0x57ee1502db93","1,0",1,MOV-AND
631.deepsjeng_s/1,1/super_hot_regions:69,"0x57ee1502db51,0x57ee1502db80,0x57ee1502db97","1,0,0",1,MOV-SAR-AND
631.deepsjeng_s/1,1/super_hot_regions:82,"0x57ee1502e410,0x57ee1502e415","1,0",1,MOV-AND
631.deepsjeng_s/1,1/super_hot_regions:83,"0x57ee1502e409,0x57ee1502e40d,0x57ee1502e419,0x57ee1502e41e,0x57ee1502e4a1","1,0,0,0,0",1,MOV-SAR-MOV-AND-AND
631.deepsjeng_s/1,1/super_hot_regions:86,"0x57ee1502e464,0x57ee1502e4ca","1,0",1,MOV-AND
631.deepsjeng_s/1,1/super_hot_regions:88,"0x57ee1502e451,0x57ee1502e473,0x57ee1502e4d3","1,0,0",1,MOV-SAR-AND
631.deepsjeng_s/1,1/super_hot_regions:89,"0x57ee1502e45a,0x57ee1502e485,0x57ee1502e4d6","1,0,0",1,MOV-SAR-AND
631.deepsjeng_s/1,1/super_hot_regions:108,"0x57ee1502e4e9,0x57ee1502e4ec","1,0",1,SAR-AND
631.deepsjeng_s/1,1/super_hot_regions:130,"0x57ee15037792,0x57ee1503779b","1,0",1,MOV-MOV
631.deepsjeng_s/1,1/super_hot_regions:132,"0x57ee15029774,0x57ee15029776","1,0",1,MOV-AND
631.deepsjeng_s/1,1/super_hot_regions:133,"0x57ee15029779,0x57ee15029783,0x57ee15029788,0x57ee1502978b,0x57ee15029795,0x57ee150297a3","1,0,0,0,0,0",1,MOV-SHRX-AND-MOV-IMUL-SHR
