bench,src,pc,latency
631.deepsjeng_s/1,1/super_hot_regions:5,0x57ee15038294,1
631.deepsjeng_s/1,1/super_hot_regions:5,0x57ee15038298,0
631.deepsjeng_s/1,1/super_hot_regions:5,0x57ee1503829b,0
631.deepsjeng_s/1,1/super_hot_regions:5,0x57ee150382a0,0
631.deepsjeng_s/1,1/super_hot_regions:5,0x57ee150382a9,0
631.deepsjeng_s/1,1/super_hot_regions:7,0x57ee150298bb,1
631.deepsjeng_s/1,1/super_hot_regions:7,0x57ee150298bd,0
631.deepsjeng_s/1,1/super_hot_regions:8,0x57ee150298e0,1
631.deepsjeng_s/1,1/super_hot_regions:8,0x57ee150298e9,0
631.deepsjeng_s/1,1/super_hot_regions:34,0x57ee15032c73,1
631.deepsjeng_s/1,1/super_hot_regions:34,0x57ee15032c78,0
631.deepsjeng_s/1,1/super_hot_regions:34,0x57ee15032c7e,0
631.deepsjeng_s/1,1/super_hot_regions:45,0x57ee15037689,1
631.deepsjeng_s/1,1/super_hot_regions:45,0x57ee15037700,0
631.deepsjeng_s/1,1/super_hot_regions:48,0x57ee15026bd5,1
631.deepsjeng_s/1,1/super_hot_regions:48,0x57ee15026c77,0
631.deepsjeng_s/1,1/super_hot_regions:64,0x57ee1502db36,1
631.deepsjeng_s/1,1/super_hot_regions:64,0x57ee1502db38,0
631.deepsjeng_s/1,1/super_hot_regions:64,0x57ee1502db40,0
631.deepsjeng_s/1,1/super_hot_regions:64,0x57ee1502db53,0
631.deepsjeng_s/1,1/super_hot_regions:68,0x57ee1502db4c,1
631.deepsjeng_s/1,1/super_hot_regions:68,0x57ee1502db93,0
631.deepsjeng_s/1,1/super_hot_regions:69,0x57ee1502db51,1
631.deepsjeng_s/1,1/super_hot_regions:69,0x57ee1502db80,0
631.deepsjeng_s/1,1/super_hot_regions:69,0x57ee1502db97,0
631.deepsjeng_s/1,1/super_hot_regions:82,0x57ee1502e410,1
631.deepsjeng_s/1,1/super_hot_regions:82,0x57ee1502e415,0
631.deepsjeng_s/1,1/super_hot_regions:83,0x57ee1502e409,1
631.deepsjeng_s/1,1/super_hot_regions:83,0x57ee1502e40d,0
631.deepsjeng_s/1,1/super_hot_regions:83,0x57ee1502e419,0
631.deepsjeng_s/1,1/super_hot_regions:83,0x57ee1502e41e,0
631.deepsjeng_s/1,1/super_hot_regions:83,0x57ee1502e4a1,0
631.deepsjeng_s/1,1/super_hot_regions:86,0x57ee1502e464,1
631.deepsjeng_s/1,1/super_hot_regions:86,0x57ee1502e4ca,0
631.deepsjeng_s/1,1/super_hot_regions:88,0x57ee1502e451,1
631.deepsjeng_s/1,1/super_hot_regions:88,0x57ee1502e473,0
631.deepsjeng_s/1,1/super_hot_regions:88,0x57ee1502e4d3,0
631.deepsjeng_s/1,1/super_hot_regions:89,0x57ee1502e45a,1
631.deepsjeng_s/1,1/super_hot_regions:89,0x57ee1502e485,0
631.deepsjeng_s/1,1/super_hot_regions:89,0x57ee1502e4d6,0
631.deepsjeng_s/1,1/super_hot_regions:108,0x57ee1502e4e9,1
631.deepsjeng_s/1,1/super_hot_regions:108,0x57ee1502e4ec,0
631.deepsjeng_s/1,1/super_hot_regions:130,0x57ee15037792,1
631.deepsjeng_s/1,1/super_hot_regions:130,0x57ee1503779b,0
631.deepsjeng_s/1,1/super_hot_regions:132,0x57ee15029774,1
631.deepsjeng_s/1,1/super_hot_regions:132,0x57ee15029776,0
631.deepsjeng_s/1,1/super_hot_regions:133,0x57ee15029779,1
631.deepsjeng_s/1,1/super_hot_regions:133,0x57ee15029783,0
631.deepsjeng_s/1,1/super_hot_regions:133,0x57ee15029788,0
631.deepsjeng_s/1,1/super_hot_regions:133,0x57ee1502978b,0
631.deepsjeng_s/1,1/super_hot_regions:133,0x57ee15029795,0
631.deepsjeng_s/1,1/super_hot_regions:133,0x57ee150297a3,0
