bench,src,pc,latency
644.nab_s/1,1/super_hot_regions:5,0x5fac5e140d22,1
644.nab_s/1,1/super_hot_regions:5,0x5fac5e140d24,0
644.nab_s/1,1/super_hot_regions:34,0x5fac5e13a744,1
644.nab_s/1,1/super_hot_regions:34,0x5fac5e13a746,0
644.nab_s/1,1/super_hot_regions:52,0x5fac5e1409c4,1
644.nab_s/1,1/super_hot_regions:52,0x5fac5e1409c9,0
644.nab_s/1,1/super_hot_regions:78,0x5fac5e13fda8,1
644.nab_s/1,1/super_hot_regions:78,0x5fac5e13fdaa,0
644.nab_s/1,1/super_hot_regions:83,0x77c3ab813474,1
644.nab_s/1,1/super_hot_regions:83,0x77c3ab81347e,0
644.nab_s/1,1/super_hot_regions:88,0x77c3ab813669,1
644.nab_s/1,1/super_hot_regions:88,0x77c3ab813685,0
644.nab_s/1,1/super_hot_regions:138,0x5fac5e13ccbc,1
644.nab_s/1,1/super_hot_regions:138,0x5fac5e13ccc0,0
644.nab_s/1,1/super_hot_regions:139,0x5fac5e13ccc4,1
644.nab_s/1,1/super_hot_regions:139,0x5fac5e13ccc8,0
644.nab_s/1,1/super_hot_regions:147,0x5fac5e140cb6,1
644.nab_s/1,1/super_hot_regions:147,0x5fac5e140cb8,0
644.nab_s/1,1/super_hot_regions:160,0x77c3ab813521,1
644.nab_s/1,1/super_hot_regions:160,0x77c3ab813526,0
