bench,src,pcs,latencies,stage_count,muops
649.fotonik3d_s/1,1/super_hot_regions:8,"0x74c2dcda0f84,0x74c2dcda0f8b","1,0",1,VMOVD-VPBROADCASTB
649.fotonik3d_s/1,1/super_hot_regions:61,"0x566cf3690c10,0x566cf3690c13","1,0",1,MOV-SHL
649.fotonik3d_s/1,1/super_hot_regions:187,"0x566cf36eea3a,0x566cf36eea40","1,0",1,MOV-ADD
649.fotonik3d_s/1,1/super_hot_regions:189,"0x566cf36eeb3a,0x566cf36eeb40","1,0",1,MOV-ADD
649.fotonik3d_s/1,1/super_hot_regions:191,"0x566cf36eec3a,0x566cf36eec40","1,0",1,MOV-ADD
649.fotonik3d_s/1,1/super_hot_regions:248,"0x566cf49fe2a6,0x566cf49fe2a9","1,0",1,MOVSX-MOV
649.fotonik3d_s/1,1/super_hot_regions:283,"0x566cf368e322,0x566cf368e331,0x566cf368e5d6","1,0,0",1,ADD-MOVSXD-ADD
649.fotonik3d_s/1,1/super_hot_regions:327,"0x566cf3685bb5,0x566cf3685bbb","1,0",1,MOV-ADD
649.fotonik3d_s/1,1/super_hot_regions:329,"0x566cf3685d85,0x566cf3685d8b","1,0",1,MOV-ADD
649.fotonik3d_s/1,1/super_hot_regions:337,"0x566cf36eed3a,0x566cf36eed40","1,0",1,MOV-ADD
649.fotonik3d_s/1,1/super_hot_regions:408,"0x566cf3690c10,0x566cf3690c13","1,0",1,MOV-SHL
