bench,src,pc,latency
649.fotonik3d_s/1,1/super_hot_regions:8,0x74c2dcda0f84,1
649.fotonik3d_s/1,1/super_hot_regions:8,0x74c2dcda0f8b,0
649.fotonik3d_s/1,1/super_hot_regions:61,0x566cf3690c10,1
649.fotonik3d_s/1,1/super_hot_regions:61,0x566cf3690c13,0
649.fotonik3d_s/1,1/super_hot_regions:187,0x566cf36eea3a,1
649.fotonik3d_s/1,1/super_hot_regions:187,0x566cf36eea40,0
649.fotonik3d_s/1,1/super_hot_regions:189,0x566cf36eeb3a,1
649.fotonik3d_s/1,1/super_hot_regions:189,0x566cf36eeb40,0
649.fotonik3d_s/1,1/super_hot_regions:191,0x566cf36eec3a,1
649.fotonik3d_s/1,1/super_hot_regions:191,0x566cf36eec40,0
649.fotonik3d_s/1,1/super_hot_regions:248,0x566cf49fe2a6,1
649.fotonik3d_s/1,1/super_hot_regions:248,0x566cf49fe2a9,0
649.fotonik3d_s/1,1/super_hot_regions:283,0x566cf368e322,1
649.fotonik3d_s/1,1/super_hot_regions:283,0x566cf368e331,0
649.fotonik3d_s/1,1/super_hot_regions:283,0x566cf368e5d6,0
649.fotonik3d_s/1,1/super_hot_regions:327,0x566cf3685bb5,1
649.fotonik3d_s/1,1/super_hot_regions:327,0x566cf3685bbb,0
649.fotonik3d_s/1,1/super_hot_regions:329,0x566cf3685d85,1
649.fotonik3d_s/1,1/super_hot_regions:329,0x566cf3685d8b,0
649.fotonik3d_s/1,1/super_hot_regions:337,0x566cf36eed3a,1
649.fotonik3d_s/1,1/super_hot_regions:337,0x566cf36eed40,0
649.fotonik3d_s/1,1/super_hot_regions:408,0x566cf3690c10,1
649.fotonik3d_s/1,1/super_hot_regions:408,0x566cf3690c13,0
