bench,src,pc,latency
654.roms_s/1,1/super_hot_regions:45,0x77ba1252d474,1
654.roms_s/1,1/super_hot_regions:45,0x77ba1252d47e,0
654.roms_s/1,1/super_hot_regions:73,0x77ba1252dac1,1
654.roms_s/1,1/super_hot_regions:73,0x77ba1252dac6,0
654.roms_s/1,1/super_hot_regions:73,0x77ba1252dacb,0
654.roms_s/1,1/super_hot_regions:73,0x77ba1252dacf,0
654.roms_s/1,1/super_hot_regions:76,0x77ba1252d94e,1
654.roms_s/1,1/super_hot_regions:76,0x77ba1252da13,0
654.roms_s/1,1/super_hot_regions:81,0x77ba1252d8b4,1
654.roms_s/1,1/super_hot_regions:81,0x77ba1252d8c3,0
654.roms_s/1,1/super_hot_regions:82,0x77ba1252d8b9,1
654.roms_s/1,1/super_hot_regions:82,0x77ba1252d8cc,0
