bench,src,pcs,latencies,stage_count,muops
657.xz_s/2,2/super_hot_regions:17,"0x58fa710af0db,0x58fa710af0de","1,0",1,MOV-AND
657.xz_s/1,1/super_hot_regions:61,"0x609e9ee27fb4,0x609e9ee27fb7","1,0",1,MOVZX-MOV
657.xz_s/2,2/super_hot_regions:41,"0x58fa710b2625,0x58fa710b2628,0x58fa710b262b,0x58fa710b262e,0x58fa710b2631,0x58fa710b2634,0x58fa710b2636","1,0,0,0,0,0,0",1,SHR-SUB-MOV-SAR-MOV-AND-ADD
657.xz_s/2,2/super_hot_regions:45,"0x58fa710af14d,0x58fa710af150","1,0",1,NOT-ADD
657.xz_s/1,1/super_hot_regions:71,"0x609e9ee300db,0x609e9ee300de","1,0",1,MOV-AND
657.xz_s/1,1/super_hot_regions:82,"0x609e9ee33625,0x609e9ee33628,0x609e9ee3362b,0x609e9ee3362e,0x609e9ee33631,0x609e9ee33634,0x609e9ee33636","1,0,0,0,0,0,0",1,SHR-SUB-MOV-SAR-MOV-AND-ADD
657.xz_s/2,2/super_hot_regions:68,"0x58fa710a6fb4,0x58fa710a6fb7","1,0",1,MOVZX-MOV
657.xz_s/1,1/super_hot_regions:100,"0x609e9ee3014d,0x609e9ee30150","1,0",1,NOT-ADD
657.xz_s/2,2/super_hot_regions:79,"0x58fa710b1060,0x58fa710b1065,0x58fa710b1068,0x58fa710b106b","1,0,0,0",1,MOV-SUB-SHR-ADD
657.xz_s/1,1/super_hot_regions:112,"0x609ea20752a6,0x609ea20752a9","1,0",1,MOVSX-MOV
657.xz_s/2,2/super_hot_regions:98,"0x58fa710aab5a,0x58fa710aab5f","1,0",1,SUB-SAR
657.xz_s/1,1/super_hot_regions:131,"0x609e9ee32060,0x609e9ee32065,0x609e9ee32068,0x609e9ee3206b","1,0,0,0",1,MOV-SUB-SHR-ADD
657.xz_s/1,1/super_hot_regions:139,"0x609e9ee2bb5a,0x609e9ee2bb5f","1,0",1,SUB-SAR
657.xz_s/2,2/super_hot_regions:126,"0x58fa710b1127,0x58fa710b112c,0x58fa710b112f,0x58fa710b1132","1,0,0,0",1,MOV-SUB-SHR-ADD
657.xz_s/2,2/super_hot_regions:128,"0x58fa710b3899,0x58fa710b389f","1,0",1,MOV-SUB
657.xz_s/2,2/super_hot_regions:145,"0x58fa710aee5a,0x58fa710aee67","1,0",1,XOR-MOV
657.xz_s/1,1/super_hot_regions:162,"0x609e9ee2ccf8,0x609e9ee2ccfb","1,0",1,MOV-SHR
657.xz_s/2,2/super_hot_regions:153,"0x58fa710b129e,0x58fa710b12a3,0x58fa710b12a5,0x58fa710b12a8","1,0,0,0",1,MOV-SUB-SHR-ADD
657.xz_s/2,2/super_hot_regions:167,"0x58fa710b1187,0x58fa710b118c,0x58fa710b118f,0x58fa710b1192","1,0,0,0",1,MOV-SUB-SHR-ADD
657.xz_s/2,2/super_hot_regions:169,"0x58fa710b378c,0x58fa710b3792","1,0",1,MOV-SUB
