env,benchmark,cpu_cycles,fpga_cycles,delta_cycles,delta_cycle_pct,saved_cpu_ns,fpga_time_ns,f_fpga_mhz,num_blocks,avg_depth,total_depth,clb_used,dsp_used,clb_pct_board,dsp_pct_board,area_mm2,total_W,dyn_W,W_per_mm2,stage_count_raw
atom_d510,657.xz_s,8775839332,8757685329,18154003,0.207,10870660.48,44247406.67,410.284,20,1.0,20,546,0,0.369,0.0,1.706,2.93,0.455,1.717,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
atom_c2750,657.xz_s,7028842773,7010671329,18171444,0.259,7571435.0,44289916.25,410.284,20,1.0,20,546,0,0.369,0.0,1.706,2.93,0.455,1.717,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
i7_4770k,657.xz_s,5932299450,5916010181,16289269,0.275,4654076.86,39702423.2,410.284,20,1.0,20,546,0,0.369,0.0,1.706,2.93,0.455,1.717,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
atom_e3845,657.xz_s,6406338861,6388167142,18171719,0.284,9513989.01,44290586.52,410.284,20,1.0,20,546,0,0.369,0.0,1.706,2.93,0.455,1.717,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
gainestown,657.xz_s,6157600280,6001450677,156149603,2.536,55767715.36,380589062.7,410.284,20,1.0,20,546,0,0.369,0.0,1.706,2.93,0.455,1.717,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
atom_d510,520.omnetpp_r,3414504041,3402805025,11699016,0.343,7005398.8,28385679.8,412.145,6,1.0,6,130,0,0.088,0.0,0.406,2.831,0.357,6.969,1+1+1+1+1+1
atom_c2750,520.omnetpp_r,2440598924,2427504873,13094051,0.537,5455854.58,31770495.82,412.145,6,1.0,6,130,0,0.088,0.0,0.406,2.831,0.357,6.969,1+1+1+1+1+1
i7_4770k,520.omnetpp_r,2018186673,2008283073,9903600,0.491,2829600.0,24029407.13,412.145,6,1.0,6,130,0,0.088,0.0,0.406,2.831,0.357,6.969,1+1+1+1+1+1
atom_e3845,520.omnetpp_r,2315427991,2302195858,13232133,0.571,6927818.32,32105528.39,412.145,6,1.0,6,130,0,0.088,0.0,0.406,2.831,0.357,6.969,1+1+1+1+1+1
gainestown,520.omnetpp_r,1807240756,1797327565,9913191,0.549,3540425.36,24052678.06,412.145,6,1.0,6,130,0,0.088,0.0,0.406,2.831,0.357,6.969,1+1+1+1+1+1
atom_d510,519.lbm_r,1926924224,2128605633,-201681409,-10.466,-120767310.78,-535530731.46,376.601,17,3.06,52,5063,114,3.426,1.667,15.822,3.451,0.969,0.218,36+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
atom_c2750,519.lbm_r,1649892510,1803550590,-153658080,-9.313,-64024200.0,-408012936.77,376.601,17,3.06,52,5063,114,3.426,1.667,15.822,3.451,0.969,0.218,36+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
i7_4770k,519.lbm_r,1520742038,1525748569,-5006531,-0.329,-1430437.43,-13293992.85,376.601,17,3.06,52,5063,114,3.426,1.667,15.822,3.451,0.969,0.218,36+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
atom_e3845,519.lbm_r,1534743613,1660530579,-125786966,-8.196,-65857050.26,-334005926.7,376.601,17,3.06,52,5063,114,3.426,1.667,15.822,3.451,0.969,0.218,36+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
gainestown,519.lbm_r,1280726858,1286476648,-5749790,-0.449,-2053496.43,-15267590.9,376.601,17,3.06,52,5063,114,3.426,1.667,15.822,3.451,0.969,0.218,36+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
atom_d510,511.povray_r,2700522528,2691669907,8852621,0.328,5300970.66,21479384.68,412.145,4,1.0,4,130,0,0.088,0.0,0.406,2.831,0.357,6.969,1+1+1+1
atom_c2750,511.povray_r,2488854929,2480088960,8765969,0.352,3652487.08,21269138.29,412.145,4,1.0,4,130,0,0.088,0.0,0.406,2.831,0.357,6.969,1+1+1+1
i7_4770k,511.povray_r,2149091791,2140236730,8855061,0.412,2530017.43,21485304.93,412.145,4,1.0,4,130,0,0.088,0.0,0.406,2.831,0.357,6.969,1+1+1+1
atom_e3845,511.povray_r,2487553241,2478766111,8787130,0.353,4600591.62,21320481.87,412.145,4,1.0,4,130,0,0.088,0.0,0.406,2.831,0.357,6.969,1+1+1+1
gainestown,511.povray_r,1972599377,1963460264,9139113,0.463,3263968.93,22174508.97,412.145,4,1.0,4,130,0,0.088,0.0,0.406,2.831,0.357,6.969,1+1+1+1
atom_d510,521.wrf_r,3236976964,3217491642,19485322,0.602,11667857.49,38567917.8,505.221,3,1.0,3,474,9,0.321,0.132,1.481,2.869,0.395,1.937,1+1+1
atom_c2750,521.wrf_r,5159042455,5139917520,19124935,0.371,7968722.92,37854592.35,505.221,3,1.0,3,474,9,0.321,0.132,1.481,2.869,0.395,1.937,1+1+1
i7_4770k,521.wrf_r,2698971194,2670509867,28461327,1.055,8131807.71,56334410.09,505.221,3,1.0,3,474,9,0.321,0.132,1.481,2.869,0.395,1.937,1+1+1
atom_e3845,521.wrf_r,5468340387,5449718659,18621728,0.341,9749595.81,36858578.72,505.221,3,1.0,3,474,9,0.321,0.132,1.481,2.869,0.395,1.937,1+1+1
