benchmark,input,region,cpu_only_cycles,fpga_custom_cycles,cpu_only_ipc,fpga_custom_ipc,cycle_reduction_%
500.perlbench_r,1,region_1,88074684,87651428,1.36,1.37,0.48
500.perlbench_r,1,region_2,100228205,99864732,1.20,1.20,0.36
500.perlbench_r,1,region_3,76007304,75533433,1.58,1.59,0.62
500.perlbench_r,1,region_4,77006234,76508297,1.56,1.57,0.65
500.perlbench_r,1,region_5,117159400,116816937,1.01,1.01,0.29
500.perlbench_r,1,region_6,80347397,79985834,1.49,1.50,0.45
500.perlbench_r,1,region_7,92403126,91985791,1.30,1.30,0.45
500.perlbench_r,1,region_8,109163758,108793982,1.10,1.10,0.34
500.perlbench_r,1,region_9,1476430,1477576,0.76,0.76,-0.08
500.perlbench_r,1,region_10,105797956,105387497,1.13,1.14,0.39
500.perlbench_r,1,region_11,93276569,92952060,1.29,1.29,0.35
500.perlbench_r,1,region_12,87212892,86947211,1.01,1.01,0.30
500.perlbench_r,1,region_13,102209639,101822100,1.17,1.18,0.38
500.perlbench_r,1,region_14,105526354,105127737,1.14,1.14,0.38
500.perlbench_r,1,region_15,94612805,94222592,1.27,1.27,0.41
500.perlbench_r,1,region_16,93690848,93284782,1.28,1.29,0.43
500.perlbench_r,1,region_17,53838889,53676730,1.00,1.00,0.30
500.perlbench_r,1,average,86943088,86590513,1.21,1.22,0.38

500.perlbench_r,2,region_1,161935530,161926935,0.74,0.74,0.01
500.perlbench_r,2,region_2,169825740,168694065,0.71,0.71,0.67
500.perlbench_r,2,region_3,105065471,105033574,1.14,1.14,0.03
500.perlbench_r,2,region_4,103999309,103757312,1.15,1.16,0.23
500.perlbench_r,2,region_5,103519708,103281531,1.16,1.16,0.23
500.perlbench_r,2,region_6,114629032,114394675,1.05,1.05,0.20
500.perlbench_r,2,region_7,155857146,154912460,0.77,0.77,0.61
500.perlbench_r,2,region_8,9954156,9942505,0.65,0.65,0.12
500.perlbench_r,2,region_9,117337221,117095606,1.02,1.02,0.21
500.perlbench_r,2,region_10,114341195,114110467,1.05,1.05,0.20
500.perlbench_r,2,region_11,114353037,114118298,1.05,1.05,0.21
500.perlbench_r,2,region_12,102357473,102118341,1.17,1.18,0.23
500.perlbench_r,2,region_13,110365339,109762925,1.09,1.09,0.55
500.perlbench_r,2,region_14,104739434,104493044,1.15,1.15,0.24
500.perlbench_r,2,region_15,65769131,44536998,1.82,2.69,32.28
500.perlbench_r,2,average,110269928,108545249,1.05,1.11,2.40

500.perlbench_r,3,region_1,103904955,103625713,1.15,1.16,0.27
500.perlbench_r,3,region_2,104506414,104234430,1.15,1.15,0.26
500.perlbench_r,3,region_3,95688517,95411567,1.16,1.16,0.29
500.perlbench_r,3,region_4,113594194,113369960,1.06,1.06,0.20
500.perlbench_r,3,region_5,10807926,10782332,0.99,1.00,0.24
500.perlbench_r,3,region_6,104343491,104080102,1.15,1.15,0.25
500.perlbench_r,3,region_7,166808704,166489925,0.72,0.72,0.19
500.perlbench_r,3,region_8,757888,759416,0.84,0.84,-0.20
500.perlbench_r,3,region_9,105178352,104892234,1.14,1.14,0.27
500.perlbench_r,3,region_10,105947509,105678390,1.13,1.14,0.25
500.perlbench_r,3,region_11,124449106,119408043,0.96,1.00,4.05
500.perlbench_r,3,region_12,132370067,129965377,0.91,0.92,1.82
500.perlbench_r,3,region_13,104824620,104544232,1.14,1.15,0.27
500.perlbench_r,3,region_14,17906823,17860601,1.07,1.07,0.26
500.perlbench_r,3,average,92220612,91507309,1.04,1.05,0.60

502.gcc_r,1,region_1,131770327,130688503,0.91,0.92,0.82
502.gcc_r,1,region_2,175442668,175148719,0.68,0.69,0.17
502.gcc_r,1,region_3,136184146,135277469,0.85,0.85,0.67
502.gcc_r,1,region_4,146004411,145141664,0.82,0.82,0.59
502.gcc_r,1,region_5,88153376,87521548,0.85,0.86,0.72
502.gcc_r,1,region_6,225016527,224671963,0.53,0.53,0.15
502.gcc_r,1,region_7,201392119,200470926,0.60,0.60,0.46
502.gcc_r,1,region_8,236612901,235579400,0.51,0.51,0.44
502.gcc_r,1,region_9,137758941,136170585,0.87,0.88,1.15
502.gcc_r,1,region_10,134910940,134002353,0.89,0.90,0.67
502.gcc_r,1,region_11,142876213,141259207,0.84,0.85,1.13
502.gcc_r,1,region_12,179733674,178716026,0.67,0.67,0.57
502.gcc_r,1,region_13,211920803,211657796,0.57,0.57,0.12
502.gcc_r,1,region_14,130290077,129524358,0.92,0.93,0.59
502.gcc_r,1,region_15,159138908,158606018,0.75,0.76,0.33
502.gcc_r,1,region_16,143441764,142590859,0.84,0.84,0.59
502.gcc_r,1,region_17,147964262,147045743,0.81,0.82,0.62
502.gcc_r,1,region_18,100855449,99868743,1.19,1.20,0.98
502.gcc_r,1,region_19,128435085,128352955,0.93,0.93,0.06
502.gcc_r,1,region_20,129587770,129569816,0.93,0.93,0.01
502.gcc_r,1,average,154374518,153593233,0.80,0.80,0.54

502.gcc_r,2,region_1,135468278,135465031,0.89,0.89,0.00
502.gcc_r,2,region_2,112865529,111885126,1.06,1.07,0.87
502.gcc_r,2,region_3,245545207,243468846,0.49,0.49,0.85
502.gcc_r,2,region_4,345390648,343391260,0.35,0.35,0.58
502.gcc_r,2,region_5,137327472,136447153,0.85,0.85,0.64
502.gcc_r,2,region_6,106933260,105923443,1.12,1.13,0.94
502.gcc_r,2,region_7,138683763,138682617,0.87,0.87,0.00
502.gcc_r,2,region_8,180778826,179351865,0.66,0.67,0.79
502.gcc_r,2,region_9,132644725,132247063,0.90,0.91,0.30
502.gcc_r,2,region_10,204141182,204062299,0.59,0.59,0.04
502.gcc_r,2,region_11,165915015,165914251,0.72,0.72,0.00
502.gcc_r,2,region_12,127566608,126350320,0.94,0.95,0.95
502.gcc_r,2,region_13,193842462,193845900,0.62,0.62,-0.00
502.gcc_r,2,average,171315613,170541167,0.77,0.78,0.66

502.gcc_r,3,region_1,52748852,52683530,0.69,0.69,0.12
502.gcc_r,3,region_2,131854367,131542273,0.91,0.91,0.24
502.gcc_r,3,region_3,185608070,185059709,0.65,0.65,0.30
502.gcc_r,3,region_4,113829888,113529636,0.88,0.88,0.26
502.gcc_r,3,region_5,331584404,331373349,0.36,0.36,0.06
502.gcc_r,3,region_6,254777001,253951308,0.47,0.47,0.32
502.gcc_r,3,region_7,183800255,180076710,0.65,0.67,2.03
502.gcc_r,3,region_8,297963247,297676556,0.36,0.36,0.10
502.gcc_r,3,region_9,208771977,208528261,0.57,0.58,0.12
502.gcc_r,3,region_10,266303087,262769014,0.45,0.46,1.33
502.gcc_r,3,region_11,309625516,309253257,0.39,0.39,0.12
502.gcc_r,3,region_12,139978170,139179217,0.86,0.86,0.57
