benchmark,input,region,cpu_only_cycles,fpga_custom_cycles,cpu_only_ipc,fpga_custom_ipc,cycle_reduction_%
500.perlbench_r,1,region_1,66693550,66169600,1.80,1.81,0.79
500.perlbench_r,1,region_2,78757000,78292900,1.52,1.53,0.59
500.perlbench_r,1,region_3,51415350,50845900,2.33,2.36,1.11
500.perlbench_r,1,region_4,53424000,52825150,2.25,2.27,1.12
500.perlbench_r,1,region_5,95681600,95258100,1.23,1.24,0.44
500.perlbench_r,1,region_6,58695000,58240350,2.04,2.06,0.77
500.perlbench_r,1,region_7,71961400,71460550,1.67,1.68,0.70
500.perlbench_r,1,region_8,88960550,88509050,1.35,1.36,0.51
500.perlbench_r,1,region_9,1354500,1355550,0.83,0.83,-0.08
500.perlbench_r,1,region_10,84756350,84266000,1.42,1.42,0.58
500.perlbench_r,1,region_11,73601150,73232600,1.63,1.64,0.50
500.perlbench_r,1,region_12,73113600,72794050,1.21,1.21,0.44
500.perlbench_r,1,region_13,80401300,79932650,1.49,1.50,0.58
500.perlbench_r,1,region_14,82847800,82375300,1.45,1.46,0.57
500.perlbench_r,1,region_15,74758600,74273150,1.61,1.62,0.65
500.perlbench_r,1,region_16,73572100,73080350,1.63,1.64,0.67
500.perlbench_r,1,region_17,47275550,47083400,1.14,1.14,0.41
500.perlbench_r,1,average,68074671,67646744,1.56,1.57,0.61

500.perlbench_r,2,region_1,138113500,138107200,0.87,0.87,0.00
500.perlbench_r,2,region_2,164979500,164529750,0.73,0.73,0.27
500.perlbench_r,2,region_3,117296550,117276600,1.02,1.02,0.02
500.perlbench_r,2,region_4,83620250,83378050,1.44,1.44,0.29
500.perlbench_r,2,region_5,84420350,84195300,1.42,1.43,0.27
500.perlbench_r,2,region_6,95791850,95552800,1.25,1.26,0.25
500.perlbench_r,2,region_7,154332500,153844250,0.78,0.78,0.32
500.perlbench_r,2,region_8,9910950,9898350,0.65,0.65,0.13
500.perlbench_r,2,region_9,98818300,98575750,1.21,1.22,0.25
500.perlbench_r,2,region_10,95757200,95525500,1.25,1.26,0.24
500.perlbench_r,2,region_11,95124400,94893750,1.26,1.26,0.24
500.perlbench_r,2,region_12,81235000,81007150,1.48,1.48,0.28
500.perlbench_r,2,region_13,93405200,92654450,1.28,1.30,0.80
500.perlbench_r,2,region_14,85357650,85121400,1.41,1.41,0.28
500.perlbench_r,2,region_15,47421150,33777450,2.53,3.55,28.77
500.perlbench_r,2,average,96372290,95222517,1.24,1.31,2.31

500.perlbench_r,3,region_1,96741400,96451950,1.24,1.24,0.30
500.perlbench_r,3,region_2,96849550,96564300,1.24,1.24,0.29
500.perlbench_r,3,region_3,89312300,89033000,1.24,1.24,0.31
500.perlbench_r,3,region_4,90916350,90535900,1.32,1.33,0.42
500.perlbench_r,3,region_5,10356150,10328850,1.04,1.04,0.26
500.perlbench_r,3,region_6,96538400,96258750,1.24,1.25,0.29
500.perlbench_r,3,region_7,143900050,143552150,0.83,0.84,0.24
500.perlbench_r,3,region_8,698250,699650,0.91,0.91,-0.20
500.perlbench_r,3,region_9,83836200,83538700,1.43,1.44,0.35
500.perlbench_r,3,region_10,95869900,95582900,1.25,1.26,0.30
500.perlbench_r,3,region_11,111036800,107670850,1.08,1.11,3.03
500.perlbench_r,3,region_12,112550200,110901350,1.07,1.08,1.46
500.perlbench_r,3,region_13,97081250,96785500,1.24,1.24,0.30
500.perlbench_r,3,region_14,17206000,17159100,1.11,1.11,0.27
500.perlbench_r,3,average,81635200,81075925,1.16,1.17,0.54

502.gcc_r,1,region_1,114011450,113135050,1.05,1.06,0.77
502.gcc_r,1,region_2,127256150,127020600,0.94,0.94,0.19
502.gcc_r,1,region_3,129351950,128543450,0.89,0.90,0.63
502.gcc_r,1,region_4,139780900,138983600,0.85,0.86,0.57
502.gcc_r,1,region_5,85742650,85174600,0.88,0.88,0.66
502.gcc_r,1,region_6,137156600,136786300,0.87,0.88,0.27
502.gcc_r,1,region_7,195965350,195205850,0.61,0.61,0.39
502.gcc_r,1,region_8,164262350,163475200,0.73,0.73,0.48
502.gcc_r,1,region_9,123339300,121696050,0.97,0.99,1.33
502.gcc_r,1,region_10,127292200,126481250,0.94,0.95,0.64
502.gcc_r,1,region_11,127126650,125769700,0.94,0.95,1.07
502.gcc_r,1,region_12,135910600,134935500,0.88,0.89,0.72
502.gcc_r,1,region_13,144312700,144138050,0.83,0.83,0.12
502.gcc_r,1,region_14,123842950,123139100,0.97,0.97,0.57
502.gcc_r,1,region_15,154122150,153615700,0.78,0.78,0.33
502.gcc_r,1,region_16,116554900,115764250,1.03,1.04,0.68
502.gcc_r,1,region_17,124930750,124181400,0.96,0.97,0.60
502.gcc_r,1,region_18,97473950,96591250,1.23,1.24,0.91
502.gcc_r,1,region_19,123396700,123338600,0.97,0.97,0.05
502.gcc_r,1,region_20,92770300,92760500,1.29,1.29,0.01
502.gcc_r,1,average,129230028,128536800,0.93,0.94,0.55

502.gcc_r,2,region_1,134982750,134982050,0.89,0.89,0.00
502.gcc_r,2,region_2,117803350,116943750,1.02,1.03,0.73
502.gcc_r,2,region_3,179359250,177896600,0.67,0.67,0.82
502.gcc_r,2,region_4,333322500,331588950,0.36,0.36,0.52
502.gcc_r,2,region_5,131901350,131120850,0.88,0.89,0.59
502.gcc_r,2,region_6,106720600,105838250,1.12,1.13,0.83
502.gcc_r,2,region_7,140593600,140591500,0.85,0.85,0.00
502.gcc_r,2,region_8,139306300,138016900,0.86,0.87,0.93
502.gcc_r,2,region_9,127013950,126651000,0.94,0.95,0.29
502.gcc_r,2,region_10,175990850,175932750,0.68,0.68,0.03
502.gcc_r,2,region_11,95581500,95581150,1.26,1.26,0.00
502.gcc_r,2,region_12,125591200,124563250,0.96,0.96,0.82
502.gcc_r,2,region_13,150739400,150746750,0.80,0.80,-0.00
502.gcc_r,2,average,150685123,150034904,0.87,0.87,0.62

502.gcc_r,3,region_1,47251050,47201700,0.77,0.77,0.10
502.gcc_r,3,region_2,125299650,125026650,0.96,0.96,0.22
502.gcc_r,3,region_3,184184350,183716400,0.65,0.65,0.25
502.gcc_r,3,region_4,104708100,104442100,0.96,0.96,0.25
502.gcc_r,3,region_5,381118850,380944200,0.31,0.32,0.05
502.gcc_r,3,region_6,173083400,172352950,0.69,0.70,0.42
502.gcc_r,3,region_7,160610100,156869650,0.75,0.76,2.33
502.gcc_r,3,region_8,138699050,138470500,0.78,0.78,0.16
502.gcc_r,3,region_9,132739950,132507900,0.90,0.91,0.17
502.gcc_r,3,region_10,366779700,363112050,0.33,0.33,1.00
502.gcc_r,3,region_11,215330500,215012350,0.56,0.56,0.15
502.gcc_r,3,region_12,127364300,126616000,0.94,0.95,0.59
502.gcc_r,3,region_13,136710000,136613400,0.88,0.88,0.07
502.gcc_r,3,region_14,180794600,180780600,0.66,0.66,0.01
502.gcc_r,3,region_15,58281650,58281650,2.06,2.06,0.00
502.gcc_r,3,region_16,23642850,23586500,0.79,0.79,0.24
502.gcc_r,3,region_17,96016550,95674250,0.94,0.95,0.36
502.gcc_r,3,average,156036156,155365226,0.82,0.82,0.40

502.gcc_r,4,region_1,125968850,125913900,0.95,0.95,0.04
502.gcc_r,4,region_2,191055900,190658300,0.63,0.63,0.21
502.gcc_r,4,region_3,227035900,226664550,0.53,0.53,0.16
502.gcc_r,4,region_4,150928050,150693900,0.80,0.80,0.16
502.gcc_r,4,region_5,8044750,8043000,0.81,0.81,0.02
502.gcc_r,4,region_6,328558300,328079150,0.37,0.37,0.15
502.gcc_r,4,region_7,82034400,82033000,1.46,1.46,0.00
502.gcc_r,4,region_8,187360950,186405100,0.64,0.64,0.51
502.gcc_r,4,region_9,128299850,127621200,0.94,0.94,0.53
