idx,stage,lat,critσ
0,1,1,0.5
1,1,1,0.5
2,1,1,0.5
3,1,1,0.0
4,1,1,0.5
5,1,1,0.0
6,1,1,0.0
7,1,1,0.0
8,1,1,0.0
9,1,1,0.5
10,1,1,0.5
11,1,1,0.5
12,1,1,0.5
13,1,1,0.0
14,1,1,0.5
15,4,4,0.5
16,1,1,0.0
17,1,1,0.0
18,1,1,0.5
19,1,1,0.5
20,1,1,0.0
21,1,1,0.5
22,1,1,0.5
23,1,1,0.5
24,1,1,0.0
25,1,1,0.5
26,1,1,0.5
27,1,1,0.0
28,1,1,0.5
29,1,1,0.5
30,1,1,0.0
31,1,1,0.5
32,1,1,0.5
33,1,1,0.0
34,1,1,0.0
35,1,1,0.5
36,1,1,0.5
37,1,1,0.5
38,1,1,0.0
39,1,1,0.5
40,1,1,0.0
41,1,1,0.5
42,1,1,0.0
43,1,1,0.0
44,1,1,0.0
45,1,1,0.5
46,1,1,0.5
47,1,1,0.4714045207910317
48,1,1,0.4714045207910317
49,1,1,0.0
50,1,1,0.0
51,1,1,0.5
52,1,1,0.5
53,1,1,0.0
54,1,1,0.0
55,1,1,0.0
56,1,1,0.0
57,1,1,0.0
58,1,1,0.0
59,1,1,0.0
60,1,1,0.0
61,1,1,0.0
62,1,1,0.5
63,1,1,0.0
64,1,1,0.5
65,1,1,0.0
66,1,1,0.0
67,1,1,0.0
68,1,1,0.0
69,1,1,0.0
70,1,1,0.5
71,1,1,0.0
72,1,1,0.0
73,1,1,0.5
74,1,1,0.0
75,1,1,0.0
76,1,1,0.0
77,1,1,0.0
78,1,1,0.5
79,1,1,0.0
80,1,1,0.5
81,1,1,0.5
82,1,1,0.0
83,1,1,0.4714045207910317
84,1,1,0.4714045207910317
85,1,1,0.5
86,1,1,0.0
87,1,1,0.0
88,1,1,0.5
89,1,1,0.5
90,1,1,0.5
91,1,1,0.5
92,1,1,0.0
93,1,1,0.5
94,1,1,0.5
95,1,1,0.5
96,1,1,0.5
97,1,1,0.5
98,1,1,0.5
99,1,1,0.5
