idx,stages,latency,critσ
0,4,4,0.8806305718527109
1,4,4,0.8806305718527109
2,4,4,0.9428090415820634
3,4,4,0.8806305718527109
4,4,4,0.8806305718527109
5,4,4,0.8806305718527109
6,4,4,0.8806305718527109
7,4,4,0.8806305718527109
8,4,4,0.8806305718527109
9,4,4,0.8806305718527109
10,4,4,1.0
11,4,4,0.8806305718527109
12,4,4,0.9428090415820634
13,4,4,0.8806305718527109
14,4,4,0.8806305718527109
15,4,4,0.9428090415820634
16,4,4,0.8806305718527109
17,4,4,0.9428090415820634
18,4,4,0.8806305718527109
19,4,4,0.9428090415820634
20,4,4,0.8806305718527109
21,4,4,0.9428090415820634
22,4,4,1.0
23,4,4,1.0
24,4,4,1.0
25,1,1,0.0
