Benchmark,Opcode,RegWidths,Occurrences
alu_only_wo_flag_consumer,add,"32,64",2124
alu_only_wo_flag_consumer,addss,128,12
alu_only_wo_flag_consumer,and,"32,64",281
alu_only_wo_flag_consumer,andn,64,2
alu_only_wo_flag_consumer,andps,128,2
alu_only_wo_flag_consumer,blsi,64,2
alu_only_wo_flag_consumer,blsr,64,2
alu_only_wo_flag_consumer,cdq,32,67
alu_only_wo_flag_consumer,cdqe,"32,64",197
alu_only_wo_flag_consumer,cmp,32,2
alu_only_wo_flag_consumer,dec,"32,64",46
alu_only_wo_flag_consumer,imul,"32,64",295
alu_only_wo_flag_consumer,inc,"32,64",82
alu_only_wo_flag_consumer,lea,"32,64",885
alu_only_wo_flag_consumer,mov,"8,16,32,64",4646
alu_only_wo_flag_consumer,movaps,"64,128",7
alu_only_wo_flag_consumer,movq,"64,128",3
alu_only_wo_flag_consumer,movsd,"64,128",2
alu_only_wo_flag_consumer,movss,128,4
alu_only_wo_flag_consumer,movsx,"8,32,64",25
alu_only_wo_flag_consumer,movsxd,"32,64",364
alu_only_wo_flag_consumer,movzx,"8,16,32,64",518
alu_only_wo_flag_consumer,mul,64,1
alu_only_wo_flag_consumer,mulss,128,28
alu_only_wo_flag_consumer,neg,"32,64",13
alu_only_wo_flag_consumer,not,64,18
alu_only_wo_flag_consumer,or,"32,64",61
alu_only_wo_flag_consumer,punpcklqdq,128,1
alu_only_wo_flag_consumer,rorx,64,24
alu_only_wo_flag_consumer,sar,"32,64",190
alu_only_wo_flag_consumer,shl,"32,64",251
alu_only_wo_flag_consumer,shlx,"32,64",12
alu_only_wo_flag_consumer,shr,"16,32,64",193
alu_only_wo_flag_consumer,shrx,"32,64",19
alu_only_wo_flag_consumer,sub,"32,64",275
alu_only_wo_flag_consumer,subss,128,14
alu_only_wo_flag_consumer,tzcnt,64,2
alu_only_wo_flag_consumer,vaddpd,"64,128,256",147
alu_only_wo_flag_consumer,vaddps,"64,128,256",3
alu_only_wo_flag_consumer,vaddsd,"64,128",852
alu_only_wo_flag_consumer,vaddss,"64,128",15
alu_only_wo_flag_consumer,vandpd,"128,256",11
alu_only_wo_flag_consumer,vbroadcastsd,"64,128,256",70
alu_only_wo_flag_consumer,vcomisd,128,15
alu_only_wo_flag_consumer,vextractf128,"128,256",2
alu_only_wo_flag_consumer,vfmadd132pd,"64,128,256",217
alu_only_wo_flag_consumer,vfmadd132sd,"64,128",364
alu_only_wo_flag_consumer,vfmadd132ss,128,1
alu_only_wo_flag_consumer,vfmadd213pd,"64,128,256",28
alu_only_wo_flag_consumer,vfmadd213sd,"64,128",43
alu_only_wo_flag_consumer,vfmadd231pd,"64,128,256",250
alu_only_wo_flag_consumer,vfmadd231ps,"64,256",1
alu_only_wo_flag_consumer,vfmadd231sd,"64,128",676
alu_only_wo_flag_consumer,vfmadd231ss,128,1
alu_only_wo_flag_consumer,vfmsub132pd,"64,128,256",139
alu_only_wo_flag_consumer,vfmsub132sd,"64,128",21
alu_only_wo_flag_consumer,vfmsub213pd,"64,256",8
alu_only_wo_flag_consumer,vfmsub231pd,"64,256",21
alu_only_wo_flag_consumer,vfmsub231sd,128,17
alu_only_wo_flag_consumer,vfnmadd132pd,"64,256",15
alu_only_wo_flag_consumer,vfnmadd132sd,128,111
alu_only_wo_flag_consumer,vfnmadd213pd,"64,256",28
alu_only_wo_flag_consumer,vfnmadd213ps,"64,256",5
alu_only_wo_flag_consumer,vfnmadd213sd,"64,128",27
alu_only_wo_flag_consumer,vfnmadd213ss,"64,128",1
alu_only_wo_flag_consumer,vfnmadd231pd,"64,256",6
alu_only_wo_flag_consumer,vfnmadd231sd,"64,128",111
alu_only_wo_flag_consumer,vfnmadd231ss,128,5
alu_only_wo_flag_consumer,vinsertf128,"128,256",5
alu_only_wo_flag_consumer,vinsertps,"64,128",1
alu_only_wo_flag_consumer,vmaxpd,256,13
alu_only_wo_flag_consumer,vmaxsd,128,2
alu_only_wo_flag_consumer,vmaxss,128,9
alu_only_wo_flag_consumer,vminpd,256,13
alu_only_wo_flag_consumer,vminsd,128,2
alu_only_wo_flag_consumer,vminss,"64,128",8
alu_only_wo_flag_consumer,vmovapd,"64,128,256",65
alu_only_wo_flag_consumer,vmovaps,128,4
alu_only_wo_flag_consumer,vmovd,"32,64,128",125
alu_only_wo_flag_consumer,vmovddup,"64,128",14
alu_only_wo_flag_consumer,vmovdqa,"64,128,256",33
alu_only_wo_flag_consumer,vmovdqu,"64,128,256",150
alu_only_wo_flag_consumer,vmovhpd,"64,128",44
