Case,Benchmark,WNS_ns,Fmax_MHz,Dynamic_Power_W,CLB_Used,DSP_Used,BRAM_Used
alu_wo_simd_div,500_perlbench_r,2.257,929.08,0.367,112,0,0
alu_wo_simd_div,502_gcc_r,2.043,774.994,0.426,362,0,0
alu_wo_simd_div,503_bwaves_r,1.979,738.371,0.636,861,0,0
alu_wo_simd_div,505_mcf_r,1.668,600.48,0.513,518,30,0
alu_wo_simd_div,507_cactuBSSN_r,2.4,1071.429,0.102,26,0,0
alu_wo_simd_div,508_namd_r,2.667,1500.75,0.062,13,0,0
alu_wo_simd_div,510_parest_r,0.74,385.604,0.409,233,6,0
alu_wo_simd_div,511_povray_r,2.145,841.515,0.307,68,0,0
alu_wo_simd_div,519_lbm_r,1.994,746.64,0.493,503,10,0
alu_wo_simd_div,520_omnetpp_r,2.184,870.07,0.338,118,0,0
alu_wo_simd_div,521_wrf_r,2.172,861.079,0.29,48,0,0
alu_wo_simd_div,523_xalancbmk_r,2.2,882.353,0.331,98,0,0
alu_wo_simd_div,525_x264_r,0.541,358.123,0.758,1224,24,0
alu_wo_simd_div,526_blender_r,2.208,888.626,0.339,76,0,0
alu_wo_simd_div,527_cam4_r,2.289,957.549,0.203,15,0,0
alu_wo_simd_div,531_deepsjeng_r,2.134,833.797,0.369,149,10,0
alu_wo_simd_div,538_imagick_r,2.066,789.058,0.325,176,20,0
alu_wo_simd_div,541_leela_r,2.123,826.219,0.381,111,20,0
alu_wo_simd_div,544_nab_r,0.832,399.787,0.259,80,3,0
alu_wo_simd_div,548_exchange2_r,1.983,740.558,0.396,237,50,0
alu_wo_simd_div,549_fotonik3d_r,1.989,743.863,0.456,305,0,0
alu_wo_simd_div,554_roms_r,2.818,1940.492,0.03,2,0,0
alu_wo_simd_div,557_xz_r,1.99,744.417,0.474,397,0,0
alu_wo_simd_div,600_perlbench_s,2.273,943.1,0.367,112,0,0
alu_wo_simd_div,602_gcc_s,2.082,799.148,0.355,172,0,0
alu_wo_simd_div,603_bwaves_s,1.963,729.749,0.518,455,0,0
alu_wo_simd_div,605_mcf_s,1.583,571.32,0.508,497,30,0
alu_wo_simd_div,607_cactuBSSN_s,2.709,1601.708,0.069,9,0,0
alu_wo_simd_div,619_lbm_s,2.272,942.211,0.252,50,0,0
alu_wo_simd_div,620_omnetpp_s,2.063,787.195,0.352,123,0,0
alu_wo_simd_div,621_wrf_s,2.189,873.871,0.206,28,0,0
alu_wo_simd_div,623_xalancbmk_s,2.236,911.3,0.323,82,0,0
alu_wo_simd_div,625_x264_s,0.464,348.513,0.699,1091,24,0
alu_wo_simd_div,627_cam4_s,2.194,877.706,0.291,46,0,0
alu_wo_simd_div,631_deepsjeng_s,2.135,834.492,0.353,127,10,0
alu_wo_simd_div,641_leela_s,2.123,826.219,0.381,111,20,0
alu_wo_simd_div,644_nab_s,0.794,393.804,0.259,81,3,0
alu_wo_simd_div,648_exchange2_s,2.215,894.188,0.333,124,20,0
alu_wo_simd_div,649_fotonik3d_s,1.954,724.988,0.427,273,0,0
alu_wo_simd_div,654_roms_s,2.818,1940.492,0.03,2,0,0
alu_wo_simd_div,657_xz_s,1.964,730.282,0.439,317,0,0
