Case,Benchmark,WNS_ns,Fmax_MHz,Dynamic_Power_W,CLB_Used,DSP_Used,BRAM_Used
alubase,502_gcc_r,2.07,791.557,0.436,383,0,0
alubase,505_mcf_r,1.498,544.86,0.593,612,30,0
alubase,507_cactuBSSN_r,1.558,563.275,0.44,371,10,0
alubase,510_parest_r,0.553,359.669,0.434,273,6,0
alubase,511_povray_r,2.067,789.681,0.348,85,0,0
alubase,519_lbm_r,0.457,347.665,2.155,6008,124,0
alubase,520_omnetpp_r,2.107,815.439,0.353,116,0,0
alubase,521_wrf_r,2.119,823.497,0.354,90,0,0
alubase,525_x264_r,0.518,355.198,0.911,1715,24,0
alubase,527_cam4_r,1.3,491.803,0.485,379,10,0
alubase,538_imagick_r,1.406,518.852,0.446,259,20,0
alubase,541_leela_r,2.051,779.828,0.414,135,20,0
alubase,548_exchange2_r,1.944,719.77,0.527,372,50,0
alubase,549_fotonik3d_r,1.759,635.189,0.517,456,0,0
alubase,557_xz_r,1.769,639.25,0.534,516,0,0
alubase,600_perlbench_s,0.675,376.176,0.534,527,0,0
alubase,602_gcc_s,2.141,838.692,0.371,173,0,0
alubase,607_cactuBSSN_s,1.548,560.119,0.415,379,10,0
alubase,619_lbm_s,0.518,355.198,2.043,5744,114,0
alubase,620_omnetpp_s,2.15,845.07,0.361,131,0,0
alubase,621_wrf_s,1.623,584.681,0.379,254,3,0
alubase,623_xalancbmk_s,2.208,888.626,0.353,90,0,0
alubase,625_x264_s,0.458,347.786,0.848,1586,24,0
alubase,627_cam4_s,1.153,458.645,2.271,4951,66,0
alubase,628_pop2_s,2.688,1549.587,0.102,6,0,0
alubase,631_deepsjeng_s,1.233,476.115,0.407,220,10,0
alubase,641_leela_s,2.051,779.828,0.414,135,20,0
alubase,644_nab_s,0.516,354.946,0.686,902,31,0
alubase,648_exchange2_s,1.976,736.739,0.421,156,20,0
alubase,649_fotonik3d_s,1.358,506.244,0.471,400,0,0
alubase,654_roms_s,2.717,1622.499,0.138,30,0,0
alubase,657_xz_s,1.931,713.097,0.481,453,0,0
