idx,stages,latency,critσ,combHits,dspHits,baseE,rawE,warE,wawE,flagWR,flagWAW,finalE
0,2,2,1.0,1,0,1,0,0,0,0,0,1
1,3,3,0.9428090415820634,2,0,3,0,0,0,0,0,3
2,2,2,0.0,1,0,1,0,0,0,0,0,1
3,2,2,1.0,1,0,1,0,0,0,0,0,1
4,1,1,0.0,0,0,1,0,0,0,0,0,1
5,1,1,0.0,0,0,1,0,0,0,0,0,1
6,3,3,0.0,2,0,6,2,1,0,0,2,11
7,2,2,0.0,1,0,1,0,0,0,0,0,1
8,2,2,1.0,1,0,1,0,0,0,0,0,1
9,2,2,1.0,1,0,1,0,0,0,0,0,1
10,1,1,0.0,0,0,1,0,0,0,0,0,1
11,5,5,0.4,3,1,5,1,0,1,0,0,7
12,2,2,1.0,1,0,1,0,0,0,0,0,1
13,2,2,0.0,1,0,1,0,0,0,0,0,1
14,2,2,1.0,1,0,1,0,0,0,0,0,1
15,1,1,0.0,0,0,1,0,0,0,0,0,1
16,2,2,1.0,1,0,2,0,0,0,0,0,1
17,1,1,0.0,0,0,1,0,0,0,0,0,1
18,2,2,1.0,1,0,1,0,0,0,0,0,1
19,2,2,1.0,1,0,1,0,0,0,0,0,1
20,2,2,0.5,1,0,2,0,0,1,0,0,3
21,1,1,0.0,0,0,1,0,0,0,0,0,1
22,2,2,1.0,1,0,1,0,0,0,0,0,1
23,2,2,1.0,1,0,1,0,0,0,0,0,1
24,3,3,0.9428090415820634,2,0,2,1,0,0,0,0,3
25,1,1,0.0,0,0,1,0,0,0,0,0,1
26,3,3,0.9428090415820634,2,0,5,1,0,1,0,0,7
27,11,11,0.899954085146515,5,0,12,20,12,6,0,0,50
28,2,2,0.5,1,0,2,0,0,0,0,0,2
29,1,1,0.0,0,0,1,0,0,0,0,0,1
30,2,2,0.0,1,0,3,1,0,1,1,0,6
31,4,4,0.4330127018922193,3,0,6,5,0,5,3,2,21
32,2,2,1.0,1,0,2,0,0,0,0,0,1
33,3,3,0.0,2,0,4,3,0,0,1,0,8
34,1,1,0.0,0,0,1,0,0,0,0,0,1
35,2,2,1.0,1,0,1,0,0,0,0,0,1
36,2,2,1.0,1,0,1,0,0,0,0,0,1
37,2,2,1.0,1,0,1,0,0,0,0,0,1
38,5,5,0.9797958971132712,3,0,4,1,1,1,0,0,7
39,2,2,1.0,1,0,1,0,0,0,0,0,1
40,2,2,1.0,1,0,1,0,0,0,0,0,1
41,2,2,1.0,1,0,1,0,0,0,0,0,1
42,1,1,0.0,0,0,2,0,0,0,0,1,3
43,2,2,0.0,1,0,1,0,0,0,0,0,1
44,4,4,0.8660254037844386,2,0,3,0,1,0,0,0,4
45,2,2,1.0,1,0,1,0,0,0,0,0,1
46,2,2,0.5,1,0,2,0,0,1,0,0,3
47,3,3,0.9428090415820634,2,0,3,0,0,0,0,0,3
48,3,3,0.9428090415820634,2,0,3,0,0,0,0,0,3
49,2,2,0.5,1,0,2,1,0,0,0,0,3
50,2,2,1.0,1,0,1,0,0,0,0,0,1
51,1,1,0.0,0,0,1,0,0,0,0,0,1
52,2,2,0.0,1,0,1,0,0,0,0,0,1
53,2,2,0.0,1,0,3,1,0,0,0,0,4
54,1,1,0.0,0,0,2,0,0,0,0,0,2
55,8,8,0.33071891388307384,6,0,23,30,10,6,0,35,104
56,2,2,1.0,1,0,1,0,0,0,0,0,1
57,2,2,1.0,1,0,1,0,0,0,0,0,1
58,1,1,0.0,0,0,1,0,0,0,0,0,1
59,6,6,0.7453559924999299,5,0,20,15,5,3,0,15,58
60,2,2,1.0,1,0,1,0,0,0,0,0,1
61,5,5,0.4,3,1,5,1,0,1,0,0,7
62,2,2,1.0,1,0,1,0,0,0,0,0,1
63,2,2,0.0,1,0,1,0,0,0,0,0,1
64,2,2,1.0,1,0,1,0,0,0,0,0,1
65,2,2,1.0,1,0,1,0,0,0,0,0,1
66,2,2,1.0,1,0,1,0,0,0,0,0,1
67,3,3,0.9428090415820634,2,0,3,0,0,0,0,0,3
68,3,3,0.9428090415820634,2,0,2,0,0,0,0,0,2
69,1,1,0.0,0,0,1,0,0,0,0,0,1
70,4,4,0.8660254037844386,3,0,3,0,0,0,0,0,3
71,5,5,0.9797958971132712,3,0,4,1,1,1,0,0,7
72,2,2,1.0,1,0,1,0,0,0,0,0,1
73,2,2,1.0,1,0,1,0,0,0,0,0,1
74,1,1,0.0,0,0,1,0,0,0,0,0,1
75,3,3,0.9428090415820634,2,0,3,0,0,0,0,0,3
76,2,2,1.0,1,0,1,0,0,0,0,0,1
77,2,2,1.0,1,0,1,0,0,0,0,0,1
78,1,1,0.0,0,0,1,0,0,0,0,0,1
79,2,2,1.0,1,0,1,0,0,0,0,0,1
80,1,1,0.0,0,0,2,0,0,0,0,1,3
81,2,2,1.0,1,0,1,0,0,0,0,0,1
82,2,2,1.0,1,0,1,0,0,0,0,0,1
83,2,2,1.0,1,0,1,0,0,0,0,0,1
84,1,1,0.0,0,0,1,0,0,0,0,0,1
85,2,2,1.0,1,0,2,0,0,0,0,0,1
86,2,2,0.0,1,0,1,0,0,0,0,0,1
87,1,1,0.0,0,0,1,0,0,0,0,0,1
88,1,1,0.0,0,0,1,0,0,0,0,0,1
89,2,2,1.0,1,0,1,0,0,0,0,0,1
90,2,2,1.0,1,0,1,0,0,0,0,0,1
91,3,3,0.9428090415820634,2,0,5,1,0,1,0,0,7
92,11,11,0.899954085146515,5,0,12,20,12,6,0,0,50
93,2,2,0.5,1,0,2,0,0,0,0,0,2
94,1,1,0.0,0,0,1,0,0,0,0,0,1
95,2,2,1.0,1,0,1,0,0,0,0,0,1
96,3,3,0.4714045207910317,2,0,4,0,0,0,0,0,3
97,2,2,0.0,1,0,1,0,0,0,0,0,1
98,2,2,0.0,1,0,1,0,0,0,0,0,1
99,1,1,0.0,0,0,1,0,0,0,0,0,1
100,2,2,1.0,1,0,1,0,0,0,0,0,1
101,2,2,1.0,1,0,2,0,0,0,0,0,1
102,1,1,0.0,0,0,1,0,0,0,0,0,1
