bench,src,pc,latency
508.namd_r/1,1/super_hot_regions:8,0x5826d152c720,4
508.namd_r/1,1/super_hot_regions:8,0x5826d152c724,0
508.namd_r/1,1/super_hot_regions:8,0x5826d152c731,0
508.namd_r/1,1/super_hot_regions:8,0x5826d152c72d,0
508.namd_r/1,1/super_hot_regions:8,0x5826d152c741,0
508.namd_r/1,1/super_hot_regions:8,0x5826d152c756,0
508.namd_r/1,1/super_hot_regions:8,0x5826d152c784,0
508.namd_r/1,1/super_hot_regions:30,0x5826d152c501,4
508.namd_r/1,1/super_hot_regions:30,0x5826d152c505,0
508.namd_r/1,1/super_hot_regions:30,0x5826d152c512,0
508.namd_r/1,1/super_hot_regions:30,0x5826d152c50e,0
508.namd_r/1,1/super_hot_regions:30,0x5826d152c523,0
508.namd_r/1,1/super_hot_regions:30,0x5826d152c538,0
508.namd_r/1,1/super_hot_regions:30,0x5826d152c54f,0
508.namd_r/1,1/super_hot_regions:31,0x5826d152c50a,4
508.namd_r/1,1/super_hot_regions:31,0x5826d152c51a,0
508.namd_r/1,1/super_hot_regions:31,0x5826d152c54b,0
508.namd_r/1,1/super_hot_regions:31,0x5826d152c516,0
508.namd_r/1,1/super_hot_regions:31,0x5826d152c52d,0
508.namd_r/1,1/super_hot_regions:31,0x5826d152c557,0
508.namd_r/1,1/super_hot_regions:46,0x5826d15329e0,4
508.namd_r/1,1/super_hot_regions:46,0x5826d15329e4,0
508.namd_r/1,1/super_hot_regions:46,0x5826d15329f1,0
508.namd_r/1,1/super_hot_regions:46,0x5826d15329ed,0
508.namd_r/1,1/super_hot_regions:46,0x5826d1532a01,0
508.namd_r/1,1/super_hot_regions:46,0x5826d1532a16,0
508.namd_r/1,1/super_hot_regions:46,0x5826d1532a44,0
508.namd_r/1,1/super_hot_regions:52,0x5826d1554938,4
508.namd_r/1,1/super_hot_regions:52,0x5826d155493c,0
508.namd_r/1,1/super_hot_regions:52,0x5826d1554949,0
508.namd_r/1,1/super_hot_regions:52,0x5826d1554945,0
508.namd_r/1,1/super_hot_regions:52,0x5826d1554959,0
508.namd_r/1,1/super_hot_regions:52,0x5826d155496e,0
508.namd_r/1,1/super_hot_regions:52,0x5826d155499b,0
508.namd_r/1,1/super_hot_regions:58,0x5826d155b080,4
508.namd_r/1,1/super_hot_regions:58,0x5826d155b084,0
508.namd_r/1,1/super_hot_regions:58,0x5826d155b091,0
508.namd_r/1,1/super_hot_regions:58,0x5826d155b08d,0
508.namd_r/1,1/super_hot_regions:58,0x5826d155b0a1,0
508.namd_r/1,1/super_hot_regions:58,0x5826d155b0b6,0
508.namd_r/1,1/super_hot_regions:58,0x5826d155b0e4,0
508.namd_r/1,1/super_hot_regions:75,0x5826d1558010,4
508.namd_r/1,1/super_hot_regions:75,0x5826d1558014,0
508.namd_r/1,1/super_hot_regions:75,0x5826d1558020,0
508.namd_r/1,1/super_hot_regions:75,0x5826d155801c,0
508.namd_r/1,1/super_hot_regions:75,0x5826d1558030,0
508.namd_r/1,1/super_hot_regions:75,0x5826d1558045,0
508.namd_r/1,1/super_hot_regions:75,0x5826d1558073,0
508.namd_r/1,1/super_hot_regions:82,0x5826d15427e9,4
508.namd_r/1,1/super_hot_regions:82,0x5826d15427f1,0
508.namd_r/1,1/super_hot_regions:82,0x5826d1542801,0
508.namd_r/1,1/super_hot_regions:82,0x5826d15427f5,0
508.namd_r/1,1/super_hot_regions:82,0x5826d154280a,0
508.namd_r/1,1/super_hot_regions:82,0x5826d154281e,0
508.namd_r/1,1/super_hot_regions:82,0x5826d1542839,0
