pblock,LUT,FF,DSP,RAMB18,RAMB36,URAM,WNS_ns,AchievedPeriod_ns,Fmax_MHz
pblock_u_500_perlbench_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_502_gcc_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_503_bwaves_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_505_mcf_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_507_cactuBSSN_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_508_namd_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_510_parest_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_511_povray_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_519_lbm_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_520_omnetpp_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_521_wrf_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_523_xalancbmk_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_525_x264_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_526_blender_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_527_cam4_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_531_deepsjeng_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_538_imagick_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_541_leela_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_544_nab_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_548_exchange2_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_549_fotonik3d_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_554_roms_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_557_xz_r,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_600_perlbench_s,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_602_gcc_s,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_603_bwaves_s,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_605_mcf_s,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_607_cactuBSSN_s,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_619_lbm_s,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_620_omnetpp_s,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_621_wrf_s,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_623_xalancbmk_s,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_625_x264_s,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_627_cam4_s,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_631_deepsjeng_s,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_641_leela_s,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_644_nab_s,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_648_exchange2_s,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_649_fotonik3d_s,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_654_roms_s,0,0,0,0,0,0,0.000,3.333,300.03
pblock_u_657_xz_s,0,0,0,0,0,0,0.000,3.333,300.03
