limit,bench,CLB_Used,Fmax_MHz
0p5pct,500.perlbench_r,431,564.546
0p5pct,502.gcc_r,440,395.674
0p5pct,503.bwaves_r,496,564.228
0p5pct,505.mcf_r,368,490.116
0p5pct,507.cactuBSSN_r,376,391.338
0p5pct,508.namd_r,386,484.418
0p5pct,510.parest_r,353,391.798
0p5pct,511.povray_r,308,564.228
0p5pct,519.lbm_r,349,484.653
0p5pct,520.omnetpp_r,361,490.116
0p5pct,521.wrf_r,155,549.954
0p5pct,523.xalancbmk_r,231,568.074
0p5pct,525.x264_r,497,393.649
0p5pct,526.blender_r,226,568.074
0p5pct,527.cam4_r,192,565.185
0p5pct,531.deepsjeng_r,533,564.228
0p5pct,538.imagick_r,299,484.653
0p5pct,541.leela_r,427,564.228
0p5pct,544.nab_r,287,564.228
0p5pct,548.exchange2_r,479,564.228
0p5pct,549.fotonik3d_r,558,490.116
0p5pct,554.roms_r,280,484.653
0p5pct,557.xz_r,524,484.418
0p5pct,600.perlbench_s,485,490.116
0p5pct,602.gcc_s,370,564.228
0p5pct,603.bwaves_s,441,564.228
0p5pct,605.mcf_s,393,564.228
0p5pct,607.cactuBSSN_s,343,393.959
0p5pct,619.lbm_s,381,490.116
0p5pct,620.omnetpp_s,304,564.228
0p5pct,621.wrf_s,146,549.954
0p5pct,623.xalancbmk_s,248,568.074
0p5pct,625.x264_s,543,393.649
0p5pct,627.cam4_s,257,568.074
0p5pct,628.pop2_s,309,568.074
0p5pct,631.deepsjeng_s,547,564.228
0p5pct,641.leela_s,427,564.228
0p5pct,644.nab_s,384,395.674
0p5pct,648.exchange2_s,433,564.228
0p5pct,649.fotonik3d_s,537,490.116
0p5pct,654.roms_s,227,568.074
0p5pct,657.xz_s,540,564.546
1p0pct,500.perlbench_r,780,508.82
1p0pct,502.gcc_r,699,395.674
1p0pct,503.bwaves_r,638,563.91
1p0pct,505.mcf_r,574,563.91
1p0pct,507.cactuBSSN_r,499,390.879
1p0pct,508.namd_r,667,508.82
1p0pct,510.parest_r,599,392.259
1p0pct,511.povray_r,327,564.228
1p0pct,519.lbm_r,590,563.91
1p0pct,520.omnetpp_r,403,490.116
1p0pct,525.x264_r,908,395.674
1p0pct,531.deepsjeng_r,872,564.546
1p0pct,538.imagick_r,392,564.228
1p0pct,541.leela_r,591,395.674
1p0pct,548.exchange2_r,895,484.418
1p0pct,549.fotonik3d_r,1018,508.82
1p0pct,557.xz_r,1016,508.82
1p0pct,600.perlbench_s,757,454.683
1p0pct,602.gcc_s,609,490.116
1p0pct,603.bwaves_s,789,490.116
1p0pct,605.mcf_s,569,564.546
1p0pct,607.cactuBSSN_s,427,393.959
1p0pct,619.lbm_s,703,508.82
1p0pct,620.omnetpp_s,359,490.116
1p0pct,625.x264_s,879,393.649
1p0pct,631.deepsjeng_s,867,564.546
1p0pct,641.leela_s,591,395.674
1p0pct,644.nab_s,521,395.674
1p0pct,648.exchange2_s,842,484.418
1p0pct,649.fotonik3d_s,822,508.82
1p0pct,657.xz_s,917,508.82
2p0pct,500.perlbench_r,1553,436.618
2p0pct,502.gcc_r,1222,395.674
2p0pct,503.bwaves_r,1537,436.618
2p0pct,505.mcf_r,1129,436.808
2p0pct,508.namd_r,1007,436.618
2p0pct,519.lbm_r,745,490.116
2p0pct,525.x264_r,1650,386.797
2p0pct,531.deepsjeng_r,1522,436.618
2p0pct,548.exchange2_r,1691,436.618
2p0pct,549.fotonik3d_r,1754,436.618
2p0pct,557.xz_r,1711,395.674
2p0pct,600.perlbench_s,1587,436.618
2p0pct,602.gcc_s,622,490.116
2p0pct,603.bwaves_s,1375,436.618
2p0pct,605.mcf_s,1055,436.618
2p0pct,619.lbm_s,780,436.808
2p0pct,625.x264_s,1795,393.649
2p0pct,631.deepsjeng_s,1433,436.618
2p0pct,648.exchange2_s,1253,436.618
2p0pct,649.fotonik3d_s,1489,436.618
2p0pct,657.xz_s,1535,395.674
3p0pct,500.perlbench_r,2238,436.618
3p0pct,502.gcc_r,1239,395.674
3p0pct,503.bwaves_r,2201,436.618
3p0pct,525.x264_r,2478,386.797
3p0pct,531.deepsjeng_r,1569,436.618
3p0pct,548.exchange2_r,1768,436.618
3p0pct,549.fotonik3d_r,2517,436.618
3p0pct,557.xz_r,2496,395.674
3p0pct,600.perlbench_s,2303,436.618
3p0pct,603.bwaves_s,1978,436.618
3p0pct,625.x264_s,2413,393.649
3p0pct,649.fotonik3d_s,2029,436.618
3p0pct,657.xz_s,2314,395.674
