clock_region,category,loc,x,y
X0Y0,SLICE,SLICE_X0Y0,0,0
X0Y0,SLICE,SLICE_X0Y1,0,1
X0Y0,SLICE,SLICE_X0Y10,0,10
X0Y0,SLICE,SLICE_X0Y11,0,11
X0Y0,SLICE,SLICE_X0Y12,0,12
X0Y0,SLICE,SLICE_X0Y13,0,13
X0Y0,SLICE,SLICE_X0Y14,0,14
X0Y0,SLICE,SLICE_X0Y15,0,15
X0Y0,SLICE,SLICE_X0Y16,0,16
X0Y0,SLICE,SLICE_X0Y17,0,17
X0Y0,SLICE,SLICE_X0Y18,0,18
X0Y0,SLICE,SLICE_X0Y19,0,19
X0Y0,SLICE,SLICE_X0Y2,0,2
X0Y0,SLICE,SLICE_X0Y20,0,20
X0Y0,SLICE,SLICE_X0Y21,0,21
X0Y0,SLICE,SLICE_X0Y22,0,22
X0Y0,SLICE,SLICE_X0Y23,0,23
X0Y0,SLICE,SLICE_X0Y24,0,24
X0Y0,SLICE,SLICE_X0Y25,0,25
X0Y0,SLICE,SLICE_X0Y26,0,26
X0Y0,SLICE,SLICE_X0Y27,0,27
X0Y0,SLICE,SLICE_X0Y28,0,28
X0Y0,SLICE,SLICE_X0Y29,0,29
X0Y0,SLICE,SLICE_X0Y3,0,3
X0Y0,SLICE,SLICE_X0Y30,0,30
X0Y0,SLICE,SLICE_X0Y31,0,31
X0Y0,SLICE,SLICE_X0Y32,0,32
X0Y0,SLICE,SLICE_X0Y33,0,33
X0Y0,SLICE,SLICE_X0Y34,0,34
X0Y0,SLICE,SLICE_X0Y35,0,35
X0Y0,SLICE,SLICE_X0Y36,0,36
X0Y0,SLICE,SLICE_X0Y37,0,37
X0Y0,SLICE,SLICE_X0Y38,0,38
X0Y0,SLICE,SLICE_X0Y39,0,39
X0Y0,SLICE,SLICE_X0Y4,0,4
X0Y0,SLICE,SLICE_X0Y40,0,40
X0Y0,SLICE,SLICE_X0Y41,0,41
X0Y0,SLICE,SLICE_X0Y42,0,42
X0Y0,SLICE,SLICE_X0Y43,0,43
X0Y0,SLICE,SLICE_X0Y44,0,44
X0Y0,SLICE,SLICE_X0Y45,0,45
X0Y0,SLICE,SLICE_X0Y46,0,46
X0Y0,SLICE,SLICE_X0Y47,0,47
X0Y0,SLICE,SLICE_X0Y48,0,48
X0Y0,SLICE,SLICE_X0Y49,0,49
X0Y0,SLICE,SLICE_X0Y5,0,5
X0Y0,SLICE,SLICE_X0Y50,0,50
X0Y0,SLICE,SLICE_X0Y51,0,51
X0Y0,SLICE,SLICE_X0Y52,0,52
X0Y0,SLICE,SLICE_X0Y53,0,53
X0Y0,SLICE,SLICE_X0Y54,0,54
X0Y0,SLICE,SLICE_X0Y55,0,55
X0Y0,SLICE,SLICE_X0Y56,0,56
X0Y0,SLICE,SLICE_X0Y57,0,57
X0Y0,SLICE,SLICE_X0Y58,0,58
X0Y0,SLICE,SLICE_X0Y59,0,59
X0Y0,SLICE,SLICE_X0Y6,0,6
X0Y0,SLICE,SLICE_X0Y7,0,7
X0Y0,SLICE,SLICE_X0Y8,0,8
X0Y0,SLICE,SLICE_X0Y9,0,9
X0Y0,SLICE,SLICE_X10Y0,10,0
X0Y0,SLICE,SLICE_X10Y1,10,1
X0Y0,SLICE,SLICE_X10Y10,10,10
X0Y0,SLICE,SLICE_X10Y11,10,11
X0Y0,SLICE,SLICE_X10Y12,10,12
X0Y0,SLICE,SLICE_X10Y13,10,13
X0Y0,SLICE,SLICE_X10Y14,10,14
X0Y0,SLICE,SLICE_X10Y15,10,15
X0Y0,SLICE,SLICE_X10Y16,10,16
X0Y0,SLICE,SLICE_X10Y17,10,17
X0Y0,SLICE,SLICE_X10Y18,10,18
X0Y0,SLICE,SLICE_X10Y19,10,19
X0Y0,SLICE,SLICE_X10Y2,10,2
X0Y0,SLICE,SLICE_X10Y20,10,20
X0Y0,SLICE,SLICE_X10Y21,10,21
X0Y0,SLICE,SLICE_X10Y22,10,22
X0Y0,SLICE,SLICE_X10Y23,10,23
X0Y0,SLICE,SLICE_X10Y24,10,24
X0Y0,SLICE,SLICE_X10Y25,10,25
X0Y0,SLICE,SLICE_X10Y26,10,26
X0Y0,SLICE,SLICE_X10Y27,10,27
X0Y0,SLICE,SLICE_X10Y28,10,28
X0Y0,SLICE,SLICE_X10Y29,10,29
X0Y0,SLICE,SLICE_X10Y3,10,3
X0Y0,SLICE,SLICE_X10Y30,10,30
X0Y0,SLICE,SLICE_X10Y31,10,31
X0Y0,SLICE,SLICE_X10Y32,10,32
X0Y0,SLICE,SLICE_X10Y33,10,33
X0Y0,SLICE,SLICE_X10Y34,10,34
X0Y0,SLICE,SLICE_X10Y35,10,35
X0Y0,SLICE,SLICE_X10Y36,10,36
X0Y0,SLICE,SLICE_X10Y37,10,37
X0Y0,SLICE,SLICE_X10Y38,10,38
X0Y0,SLICE,SLICE_X10Y39,10,39
X0Y0,SLICE,SLICE_X10Y4,10,4
X0Y0,SLICE,SLICE_X10Y40,10,40
X0Y0,SLICE,SLICE_X10Y41,10,41
X0Y0,SLICE,SLICE_X10Y42,10,42
X0Y0,SLICE,SLICE_X10Y43,10,43
X0Y0,SLICE,SLICE_X10Y44,10,44
X0Y0,SLICE,SLICE_X10Y45,10,45
X0Y0,SLICE,SLICE_X10Y46,10,46
